[0003.44-0007.44] 同學們好,歡迎大家來到我的計算級組成原理威克堂
[0167.38-0174.58] 由總線控制器負責協調各主設備訪問共享總線,也就是進行總線仲裁
[0174.58-0179.46] 總線上的所有主設備共用一條總線請求信號必然
[0179.46-0183.70] 用一項總線控制器發送總線控制權請求信號
[0183.70-0189.46] 該信號有效時表示,總線上至少有一個主設備請求總線控制權
[0189.66-0196.70] 總線控制器通過總線許可信號線BG,給主設備發揮總線許可應達信號
[0196.70-0202.94] 總線許可信號線BG,採用舉發鏈方式將各主設備串行連接
[0202.94-0210.46] 其中,正在申請總線控制權,且收到總線許可應達信號的主設備,就獲得了總線控制權
[0210.46-0219.02] 某個主設備獲得總線控制權號,會立即將總線盲信號線BS-1,表明總線正在被使用
[0219.86-0224.98] 接下來,我們舉例說明,上述集中式仲裁的鏈式查詢方式
[0224.98-0230.95] 首先來看第一,總線控閒時,主設備二申請總線控制權
[0230.95-0236.23] 由於總線控閒,因此總線盲信號線BS為0
[0236.23-0243.59] 主設備二通過總線請求信號線BR,向總線控制器發送總線控制權請求信號
[0243.59-0245.59] 也就是將BR-1
[0245.85-0251.77] 總線控制器根據總線盲信號線BS,判斷出總線處於控閒狀態
[0251.77-0257.45] 於是通過總線許可信號線BG,發送總線許可信號作為響應
[0257.45-0260.97] 該信號會沿著菊花鏈串行傳送
[0260.97-0266.60] 主設備一收到該信號,但是主設備一並未申請總線控制權
[0266.60-0273.16] 於是,主設備一將該信號立即傳送到下一個主設備,也就是主設備二
[0273.58-0280.14] 主設備二收到該信號,於是撤銷其先前發出的總線控制權請求信號
[0280.14-0285.74] 並將總線盲信號線BS-1,表明主設備二佔用了總線
[0285.74-0292.95] 主設備二獲得總線控制權號,不再將總線許可信號通過菊花鏈向後串行傳送
[0292.95-0299.40] 主設備二獲得總線控制權號,也就是完成了總線傳輸過程的申請階段
[0299.64-0305.72] 之後,依次進入總線傳輸過程的巡指、傳輸、結束這三個階段
[0305.72-0313.21] 再來看第二,總線空前時,主設備一和主設備二同時申請總線控制權
[0313.21-0318.52] 主設備一和主設備二同時通過總線請求信號線BR
[0318.52-0324.52] 向總線控制器發送總線控制權請求信號,也就是將BR-1
[0324.68-0330.68] 總線控制器根據總線盲信號線BS,判斷出總線處於空前狀態
[0330.68-0336.52] 於是通過總線許可信號線BG,發送總線許可信號作為響應
[0336.52-0339.80] 該信號會沿著菊花鏈串行傳送
[0339.80-0346.52] 主設備一收到該信號,於是撤銷其先前發出的總線控制權請求信號
[0346.52-0351.96] 並將總線盲信號線BS-1,表明主設備一佔用了總線
[0352.33-0359.13] 主設備一獲得總線控制權後,不再將總線許可信號通過菊花鏈向後串行傳送
[0359.13-0365.45] 並且繼續進入總線傳輸過程的尋指傳輸結束這三個階段
[0365.45-0373.91] 通過本立可以看出,在菊花鏈的串行連接中,離總線控制器越遠的主設備其優先級越低
[0373.91-0381.54] 相信同學們通過以上兩個舉例,已經理解了集中式仲裁的練識查詢方式
[0381.70-0385.22] 我們來一起總結練識查詢方式的優缺點
[0385.22-0390.82] 練識查詢方式的優點有,控制線上結構簡單容易擴展
[0390.82-0397.75] 練識查詢方式的缺點有,設備優先級固定,越靠近總線控制器的優先級越高
[0397.75-0405.51] 當高優先級設備頻繁請求使用總線時,低優先級設備長時間拿不到總線使用權
[0405.74-0414.54] 總線許可信號每向後傳遞一次,就需要一個時鐘週期,仲裁速度慢,存在單點故障
[0414.54-0421.66] 菊花鏈中,某個設備接口的連路出現故障,則總線許可信號無法繼續向後傳遞
[0421.66-0425.58] 造成該設備後的所有設備都不能正常工作
[0425.58-0430.73] 在同學們理解了集中式仲裁的練識查詢方式後
[0430.73-0434.89] 我們來看集中式仲裁的技術器定時查詢方式
[0435.08-0442.60] 如同所示,技術器定時查詢方式不再採用總線許可信號線BG的菊花鏈串形連接
[0442.60-0445.64] 取而代之的是一組技術地址線
[0445.64-0452.90] 相應的,總線控制器需要一個設備地址技術器,其出示值可由程序設定
[0452.90-0456.90] 而總線上的每個主設備都需要有自己的地址
[0456.90-0462.42] 並且每個主設備的總線接口處需要有自己的地址判別邏輯
[0462.65-0467.85] 接下來,我們給出集中式仲裁的技術器定時查詢方式的工作原理
[0467.85-0475.16] 當總線控制器收到主設備發來的總線請求信號及總線空前時
[0475.16-0478.76] 總線控制器中的設備地址技術器開始技術
[0478.76-0483.88] 技術值通過一組技術地址線發送給總線上的各個主設備
[0483.88-0488.42] 每個主設備的總線接口處都有一個地址判別邏輯
[0488.58-0495.62] 當總線控制器通過技術地址線發來的值與請求總線使用權的主設備的地址箱同時
[0495.62-0500.26] 該主設備獲得總線控制權於是將盲信號線之一
[0500.26-0506.60] 總線控制器檢測到總線盲信號後,立即終止設備地址技術器的技術工作
[0506.60-0509.40] 技術器的值回到出示值
[0509.40-0514.20] 基於上述工作原理,同學們認真思考一下就會發現
[0514.20-0517.88] 若設備地址技術器的出示值固定為0
[0518.04-0524.04] 則技術器定時查詢方式的設備優先級與練識查詢方式完全相同
[0524.04-0529.94] 也就是相當於總線許可信號一個時鐘週期向後傳遞一次
[0529.94-0536.02] 若設備地址技術器的出示值總是上一次獲得總線使用權的設備的地址
[0536.02-0538.42] 則所有設備的優先級相同
[0538.42-0542.76] 總上所說,技術器定時查詢方式的優點有
[0542.76-0547.24] 可以靈活調整設備優先級,不存在單點故障問題
[0547.46-0552.82] 而缺點有,每個設備都需要增加地址判別邏輯,控制複雜
[0552.82-0558.42] 需要更多的控制線號線,其中包括一條總線請求線號線BR
[0558.42-0561.06] 一條總線盲線號線BS
[0561.06-0565.94] 以及若干條技術地址線,具體為落個以二為底N的對數
[0565.94-0568.10] 其中N為地址數量
[0568.10-0571.64] 另外,一個時鐘週期技術一次
[0571.64-0575.00] 因此,響應速度與練識查詢一樣慢
[0575.16-0579.32] 在同學們理解了,集中是仲裁的技術器定時查詢方式後
[0579.32-0582.52] 我們來看集中是仲裁的獨立請求方式
[0582.52-0585.56] 如讀所示,對於獨立請求方式
[0585.56-0590.84] 每個主設備都有自己專用的總線請求線號線和總線許可信號線
[0590.84-0598.60] 例如,這是主設備一自己專用的總線請求信號線BR1和總線許可信號線BG1
[0598.60-0603.11] 這是主設備二自己專用的總線請求信號線BR2
[0603.11-0605.67] 和總線許可信號線BG2
[0605.67-0608.26] 依此類推,就不再追數了
[0608.26-0613.06] 接下來,我們給出集中是仲裁的獨立請求方式的工作原理
[0613.06-0616.70] 當主設備需要獲取總線控制權時
[0616.70-0619.34] 通過其專用的總線請求信號線
[0619.34-0623.02] 向總線控制器獨立發送總線請求信號
[0623.02-0627.08] 總線控制器收到主設備發來的總線請求信號
[0627.08-0630.44] 對其進行排隊,並按一定優先級策略
[0630.44-0633.24] 決定響應哪個主設備的總線請求
[0633.24-0636.76] 並通過該設備自己專用的總線許可信號線
[0636.76-0639.93] 向該設備發送總線許可信號
[0639.93-0644.41] 主設備收到總線許可信號號,就獲得了總線控制權
[0644.41-0649.64] 基於上述原理,我們來一起總結獨立請求方式的優缺點
[0649.64-0651.64] 獨立請求方式的優點有
[0651.64-0653.64] 優先級策略最靈活
[0653.64-0656.36] 例如,採用固定優先級算法
[0656.36-0658.84] 公平的循環菊花鏈算法
[0658.84-0662.47] Fiveau和LRU等動態優先級算法
[0662.95-0666.55] 並行仲裁,也就是總線許可信號
[0666.55-0669.35] 不再需要逐個對設備進行查詢
[0669.35-0671.59] 因此,響應時間最快
[0671.59-0676.01] 獨立請求方式的缺點,從該圖就可以明顯看出
[0676.01-0678.41] 那就是總線控制器最複雜
[0678.41-0681.29] 並且所需控制信號線數量最多
[0681.29-0684.81] 相關計算公式,請同學們自行看圖分析
[0684.81-0687.37] 相信大家都可以很容易得出
[0687.37-0689.99] 至此,我們就給同學們介紹了
[0689.99-0692.31] 集中式仲裁的三種方式
[0692.81-0695.61] 好的,本節課到這裡就結束了
[0695.61-0699.77] 請同學們快速回憶一下本節課的主要內容
[0699.77-0714.70] 同學們,我們下節課見
