[0003.18-0007.58] 同学们好,欢迎大家来到我的计算级组成员里,美克堂。
[0956.75-0958.45] 我们刚刚介绍过的
[0958.45-0961.77] 四位快速加法器的性能分析,
[0961.77-0962.57] 至此,
[0962.57-0964.87] 我们就分析出了上述这个,
[0964.87-0967.77] 使用四个四位快速加法器构建的,
[0967.77-0972.32] 16位加法器的时间关键延迟为14T,
[0972.32-0975.32] 如果我们用16个一位全家器,
[0975.32-0977.12] 通过近位串联的方式,
[0977.12-0979.52] 来构建16位加法器,
[0979.52-0982.65] 则时间关键延迟为36T,
[0982.65-0983.75] 可以看到,
[0983.75-0986.05] 使用四个四位快速加法器,
[0986.05-0990.25] 通过近位串联方式构建的16位加法器的性能,
[0990.25-0992.85] 比使用16个一位全家器,
[0992.85-0996.85] 通过近位串联的方式构建的16位加法器的性能,
[0996.85-0999.72] 提升了约2.6倍,
[0999.72-1000.52] 接下来,
[1000.52-1002.52] 请同学们思考一下,
[1002.52-1004.62] 我们能否进一步提升这个,
[1004.62-1007.02] 使用四个四位快速加法器,
[1007.02-1013.57] 通过近位串联方式构建的16位加法器的性能呢?
[1013.57-1014.57] 实际上,
[1014.57-1017.07] 待加法器是四位一组,
[1017.07-1018.57] 组内并行近位,
[1018.57-1022.33] 而组间串行近位的16位加法器,
[1022.33-1026.03] 按照之前介绍的先行近位的思想,
[1026.03-1028.53] 如果可以利用先行近位电路,
[1028.53-1031.53] 提前产生近位信号C4,
[1031.53-1032.53] C8,
[1032.53-1033.53] C12,
[1033.53-1034.73] C16,
[1034.73-1038.20] 则可以实现组间的并行近位,
[1038.20-1039.60] 那么接下来呢,
[1039.60-1044.00] 我们在之前介绍的四位先行近位电路的基础上,
[1044.00-1048.92] 想办法实现可及廉的四位先行近位电路,
[1048.92-1054.33] 这是四位先行近位电路的近位信号C4的逻辑表达式,
[1054.33-1056.86] 将这部分记为G星,
[1056.86-1059.59] 将这部分记为P星,
[1059.59-1060.59] 因此,
[1060.59-1066.34] C4的逻辑表达式和转换成下面这种形式,
[1066.34-1067.54] 可以发现,
[1067.54-1072.38] C4的形式与C1的形式是相同的,
[1072.38-1073.28] 因此,
[1073.28-1075.18] 四位一组的近位信号,
[1075.18-1077.48] 就可以采用类似的原理,
[1077.48-1080.76] 进行成组的先行近位,
[1080.76-1084.63] 我们将G星称为组近位生成函数,
[1084.63-1090.34] 它类似于四位先行近位电路中的近位生成函数Gi,
[1090.34-1094.14] 将P星称为组近位传递函数,
[1094.14-1099.59] 它类似于四位先行近位电路中的近位传递函数Pi,
[1099.59-1100.59] 接下来,
[1100.59-1103.79] 我们将实现组近位生成函数G星,
[1103.79-1107.59] 和组近位传递函数P星的逻辑电路,
[1107.59-1110.29] 添加到四位先行近位电路中,
[1110.29-1114.69] 以便构建出可及廉的四位先行近位电路,
[1114.69-1118.78] 如同所示,
[1118.78-1120.78] 我们给出该电路的符号,
[1120.78-1123.58] 以屏蔽其内部组成细节,
[1123.58-1127.68] 方便我们后续使用该电路进行相关设计,
[1127.68-1128.58] 例如,
[1128.58-1131.88] 我们可以使用可及廉的四位先行近位电路,
[1131.88-1136.20] 来构建可及廉的四位快速加发器,
[1136.20-1139.50] 这是我们之前基于四位先行近位电路,
[1139.50-1142.80] 构建的四位快速加发器,
[1142.80-1144.20] 参照该电路,
[1144.20-1147.80] 我们可以基于可及廉的四位先行近位电路,
[1147.80-1151.50] 构建出可及廉的四位快速加发器,
[1151.50-1155.10] 我们就不再给出具体的逻辑电路组成了,
[1155.10-1157.38] 仅给出符号,
[1157.38-1160.80] 这是两个四位加数的输入端,
[1160.80-1163.36] 这是近位信号的输入端,
[1163.36-1166.12] 这是四位合数的输出端,
[1166.12-1168.41] 这是近位输出端,
[1168.41-1171.31] 这是由组近位生成函数记星,
[1171.31-1176.46] 和组近位传递函数P星构成的及廉端,
[1176.46-1181.96] 这样我们就可以使用一个可及廉的四位先行近位电路,
[1181.96-1185.56] 和四个可及廉的四位快速加发器,
[1185.56-1188.86] 来构建16位组内病情近位,
[1188.86-1192.25] 组间也病情近位的加发器了,
[1192.25-1196.40] 我们一起来构建该加发器的逻辑电路,
[1196.40-1200.62] 这是四个可及廉的四位快速加发器,
[1200.62-1205.52] 我们还需要使用一个可及廉的四位先行近位电路,
[1205.52-1210.90] 以便将四个可及廉的四位快速加发器集连起来,
[1210.90-1214.52] 这是两个16位加数的输入端,
[1214.52-1217.60] 这是16位合数的输出端,
[1217.60-1220.80] 四个可及廉的四位快速加发器,
[1220.80-1232.47] 各自的近位输入信号和近位输出信号如同所示,
[1232.47-1238.17] 将又起第一个可及廉四位快速加发器的近位输入端C0,
[1238.17-1243.26] 连接到可及廉四位先行近位电路的近位输入端C0,
[1243.26-1249.16] 将可及廉四位先行近位电路的近位输出端C1到C3,
[1249.16-1256.04] 分别连接到其他三个可及廉四位快速加发器相应的近位输入端,
[1256.04-1260.84] 将四个可及廉的四位快速加发器各自的近连端,
[1260.84-1266.24] 连接到可及廉四位先行近位电路的相应的近连输入端,
[1266.24-1268.44] 这样就构建好了,
[1268.44-1273.44] 16位组内并行近位,组间也并行近位的加发器,
[1274.02-1276.62] 这是该加发器的近位输出,
[1277.23-1281.43] 接下来我们对该加发器进行性能分析,
[1281.43-1283.69] 假设T0时刻,
[1283.69-1286.89] 参与加发运算的两个16位操作数,
[1286.89-1288.69] 以及近位输入C0,
[1288.69-1292.09] 同时到达该加发器的相应的输入端,
[1292.09-1293.69] 在5T时刻,
[1293.69-1298.89] 各个可及廉四位快速加发器的近连输出端输出近连信号,
[1298.89-1304.49] 并且又起第一个可及廉四位快速加发器输出近连信号,
[1304.89-1307.69] 由于我们并不使用近连串联方式,
[1307.69-1310.52] 因此我们不关心该信号,
[1310.52-1312.02] 在6T时刻,
[1312.02-1318.91] 又起第一个可及廉四位快速加发器输出16位合数的最低位S0,
[1318.91-1320.51] 在7T时刻,
[1320.51-1323.91] 可及廉四位先行近位电路同时产生,
[1323.91-1328.51] 又起第二三四个可及廉四位快速加发器,
[1328.51-1331.01] 各自的近位输入信号,
[1331.11-1337.11] 同时还产生了可及廉四位先行近位电路自身的近连输出信号,
[1337.11-1341.10] 和16位加发器的近位输出信号,
[1341.10-1342.70] 在8T时刻,
[1342.70-1350.48] 又起第一个可及廉四位快速加发器输出合数的S1到S3这三位,
[1350.48-1352.08] 在9T时刻,
[1352.08-1356.48] 又起第二三四个可及廉四位快速加发器,
[1356.48-1359.84] 同时输出各自的近位输出信号,
[1359.84-1362.94] 由于我们并不使用近位串联方式,
[1362.94-1365.34] 因此我们不关心他们,
[1365.34-1367.04] 在12T时刻,
[1367.04-1371.14] 又起第二三四个可及廉四位快速加发器,
[1371.14-1375.76] 同时输出各自近输出的合数中的四位,
[1375.76-1378.56] 至此就得到了运算结果,
[1378.56-1381.22] 即得到了16位合数,
[1381.22-1385.88] 因此该加发器的时间关键延至为12T,
[1385.88-1389.28] 我们之前构建的组内并行近位,
[1389.28-1392.18] 组建串行近位的16位加发器,
[1392.18-1395.18] 它的时间关键延迟为14T,
[1395.18-1398.28] 而我们刚刚构建的组内并行近位,
[1398.28-1401.08] 组建也并行近位的16位加发器,
[1401.08-1404.14] 它的时间关键延迟为12T,
[1404.14-1408.34] 有的同学可能会认为性能提升并不是很多,
[1408.34-1409.34] 没错,
[1409.34-1413.77] 对于16位加发器而言,性能提升并不是很多,
[1413.77-1414.57] 那么,
[1414.57-1417.37] 请同学们用以上两种方式,
[1417.37-1420.07] 分别构建64位加发器,
[1420.07-1422.67] 看看他们各自的时间关键延迟,
[1422.67-1427.68] 分别是多少,
[1427.68-1429.98] 他们各自的时间关键延迟,
[1429.98-1433.38] 分别是38T和16T,
[1433.38-1434.48] 不难发现,
[1434.48-1435.68] 未宽越大,
[1435.68-1437.94] 性能提升就越大,
[1437.94-1441.24] 好的,本节课到这里就结束了,
[1441.24-1443.74] 请同学们快速回忆一下,
[1443.74-1476.64] 本节课的主要内容,
[1476.64-1477.44] 同学们,
[1477.44-1478.74] 我们下节课见!
