[0003.98-0007.88] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0343.24-0344.24] 思考一下
[0344.24-0351.68] 然後給出你的答案
[0351.68-0353.68] 本題的答案是選項C
[0353.68-0355.18] 大家都選對了嗎
[0355.18-0357.38] 我們來一起分析一下
[0357.48-0360.58] 虛數一給出的是超流水線的特性
[0360.58-0361.58] 例如
[0361.58-0368.06] 這是本節課介紹超流水線技術時所舉的例子
[0368.06-0369.66] 虛數二和虛數三
[0369.66-0371.86] 給出的是超標亮流水線
[0371.86-0375.76] 也就是採用動態多發射技術的流水線的特性
[0375.76-0376.46] 例如
[0376.46-0380.66] 這是本節課介紹多發射技術時所舉的例子
[0380.66-0387.34] 這幅圖可以很好的體現虛數二的描述
[0387.34-0389.34] 之前我們剛剛介紹過
[0389.34-0392.44] 按多發射流水線中充足的解決方式
[0392.44-0397.04] 多發射技術又分為靜態多發射和動態多發射
[0397.04-0400.27] 動態多發射又稱為超標亮技術
[0400.27-0407.63] 本題中虛數三實際上給出的就是動態多發射
[0407.63-0408.33] 好的
[0408.33-0411.13] 大家挑戰2020年的提17
[0411.13-0413.43] 請同學們暫停播放視頻
[0413.43-0414.43] 思考一下
[0414.43-0423.38] 然後給出你的答案
[0423.38-0425.28] 本題的答案是選項B
[0425.28-0426.88] 大家都選對了嗎
[0426.88-0429.08] 我們來一起分析一下
[0429.08-0430.88] 對於單週七CPU
[0430.88-0433.18] 每條指令的指令週期相同
[0433.18-0435.38] 均等於一個十中週期
[0435.38-0437.61] 理想CPU等於一
[0437.61-0439.41] 對於多週期CPU
[0439.41-0442.21] 每條指令的指令週期可能不同
[0442.21-0445.11] 一般包含三到五個十中週期
[0445.11-0447.34] 理想CPU大於一
[0447.34-0449.44] 對於基本流水線CPU
[0449.44-0451.54] 多條指令重疊執行
[0451.54-0452.74] 理想情況下
[0452.74-0455.24] 每十中週期留出一條指令
[0455.24-0457.37] 理想CPU等於一
[0457.37-0459.57] 對於超標亮流水線CPU
[0459.57-0461.97] 相當於多條流水線併行
[0461.97-0463.07] 理想情況下
[0463.07-0465.87] 每十中週期留出多條指令
[0465.87-0468.07] 理想CPU小於一
[0468.07-0469.07] 通常所說
[0469.07-0472.18] 本題的答案是選項B
[0472.18-0472.78] 好的
[0472.78-0474.88] 本節課到這裡就結束了
[0474.88-0476.98] 請同學們快速回憶一下
[0476.98-0493.32] 本節課的主要內容
[0493.32-0494.12] 同學們
[0494.12-0495.32] 我們下節課見
