[0004.14-0008.70] 同学们好,欢迎大家来到我的计算机组成原理维克唐
[0135.94-0138.76] 并提供10万美元的预算
[0138.76-0143.40] 这台新机器名叫电子理散辩量自动计算机
[0143.40-0149.05] 其英文缩写词为EDVAC,也称为EdWalk
[0149.13-0153.45] 尽管这个方案主要是默克利和艾克特的想法
[0153.45-0157.83] 但冯东一曼对EdWalk做了更抽象的提链
[0157.83-0164.47] 1945年6月,在一趟返回洛斯阿拉莫斯国家实验室的列车上
[0164.47-0167.99] 冯东一曼写出了那篇长达101页
[0167.99-0173.42] 影响计算机历史走向的EdWalk报告书的第一份草案
[0173.42-0177.74] 这份草案不仅详细描述了EdWalk的设计
[0177.82-0181.51] 还为现代计算机的发展指明了道路
[0181.51-0184.94] 冯东一曼计算机的主要特点如下
[0184.94-0189.85] 构成程序的指令和数据,均采用二进之表示
[0189.85-0194.95] 指令和数据存放在存储器中,按地址访问
[0194.95-0198.23] 指令在存储器中按顺序存放
[0198.23-0202.07] 一般情况下,指令是顺序执行的
[0202.07-0205.48] 指令由操作码和地址码组成
[0205.48-0208.98] 操作码用来表示执行何种操作
[0208.98-0213.77] 地址码用来表示操作数在存储器中的位置
[0213.77-0216.25] 机器以运算器为中心
[0216.25-0222.50] 输入输出设备与存储器间的数据传送通过运算器完成
[0222.50-0228.90] 基于上述特点,计算机应家由运算器、控制器、存储器、
[0228.90-0233.26] 输入设备、输出设备五大部件组成
[0233.26-0237.74] 也许很多同学此时并不能完全理解上述特点
[0237.74-0240.14] 竟然感到了一定的难度
[0240.30-0243.34] 没有关系,随着我们课程的推进
[0243.34-0247.42] 在大家学习了计算机的基本工作原理那些课号
[0247.42-0251.66] 就能对上述特点有更全面和深入的理解
[0251.66-0257.26] 如同所示,这是冯诺依曼计算机硬件的五大部件
[0257.26-0260.30] 我们用实现箭头表示数据线
[0260.30-0264.66] 用虚现箭头表示控制线和反馈线
[0264.66-0269.11] 可以看到,控制器与其他四个部件之间
[0269.19-0272.68] 都通过控制线和反馈线相连
[0272.68-0277.96] 这是因为这些部件需要在控制器的控制下协调工作
[0277.96-0282.87] 控制器通过控制线给其他部件发送控制信号
[0282.87-0286.15] 命令这些部件执行相应的任务
[0286.15-0288.87] 而其他部件通过反馈线
[0288.87-0293.91] 将自身状态和任务完成情况反馈给控制器
[0293.91-0297.11] 例如,在控制器的控制下
[0297.11-0300.07] 将用户信息通过输入设备
[0300.65-0305.11] 运算器存放到存储器中
[0305.11-0308.23] 又例如,在控制器的控制下
[0308.23-0313.51] 将存储器中的信息通过运算器输出设备
[0313.51-0315.66] 进行输出
[0315.66-0318.46] 从运算器的名称我们不难想象
[0318.46-0320.97] 其任务是进行运算
[0320.97-0325.85] 但是,冯诺依曼计算机的这种以运算器为中心的结构
[0325.85-0330.73] 会造成每次输入输出操作都需要运算器的参与
[0330.89-0334.73] 这将浪费很多可以用于运算的时间
[0334.73-0336.97] 这里需要提一下的是
[0336.97-0340.60] 输入输出操作可简称为iO操作
[0340.60-0345.61] 相应的输入输出设备和简称为iO设备
[0345.61-0348.17] 为了克服冯诺依曼计算机
[0348.17-0351.77] 以运算器为中心的结构所带来的缺点
[0351.77-0355.93] 现代计算机一般以存储器为中心
[0355.93-0359.05] 我们用实现箭头表示数据线
[0359.13-0363.67] 用虚线箭头表示控制线和反馈线
[0363.67-0364.95] 可以看到
[0364.95-0368.63] 现代计算机以存储器为中心的结构
[0368.63-0373.06] 可以让iO设备直接与存储器交换数据
[0373.06-0376.82] 这样就提高了整体效率
[0376.82-0377.86] 接下来
[0377.86-0382.70] 我们进一步介绍一下计算机应价的五大部价的功能
[0382.70-0384.62] 输入设备的功能是
[0384.62-0386.86] 将人们熟悉的信息形式
[0386.94-0391.08] 转换为计算机能够识别的信息形式
[0391.08-0396.28] 常见的有键盘、鼠标、扫描仪、摄像头等
[0396.28-0397.96] 输出设备的功能是
[0397.96-0400.04] 将计算机的运算结果
[0400.04-0403.32] 转换为人们熟悉的信息形式
[0403.32-0407.00] 常见的有显示器、打印机等
[0407.00-0411.67] 存储器分为主存储器和辅助存储器
[0411.67-0415.27] 主存储器用于存放程序和数据
[0415.27-0418.47] 可以直接与CPU交换信息
[0418.55-0420.55] 又称为内存主器
[0420.55-0423.19] 简称内存或主存
[0423.19-0426.55] 也就是我们装机时的内存条
[0426.55-0427.75] 辅助存储器
[0427.75-0431.37] 用于帮助主存存储更多的信息
[0431.37-0433.49] 又称为外部存储器
[0433.49-0436.22] 简称外存或辅存
[0436.22-0440.02] 例如机械硬盘、固态硬盘等
[0440.02-0441.66] 需要注意的是
[0441.66-0447.43] 辅存中的信息必须掉入主存后才能被CPU访问
[0447.43-0450.71] 运算器的核心是算数逻辑单元
[0450.71-0453.65] 其英文缩写词为Alu
[0453.65-0455.89] 从其名称不难看出
[0455.89-0458.81] 算数逻辑单元Alu的主要功能是
[0458.81-0462.38] 进行算数运算和逻辑运算
[0462.38-0464.94] 我想算数运算和逻辑运算
[0464.94-0466.62] 同学们并不陌生
[0466.62-0468.90] 就不再赘述了
[0468.90-0471.70] 控制器的核心是控制单元
[0471.70-0474.26] 其英文缩写词为CPU
[0474.26-0476.54] 从其名称不难看出
[0476.54-0479.14] 控制单元CPU的主要功能是
[0479.14-0481.66] 用于解释存储器中的指定
[0481.66-0485.83] 并发出各种操纵命令来执行指令
[0485.83-0486.75] 另外
[0486.75-0489.43] IO设备野兽CPU控制
[0489.43-0493.16] 用于完成相应的输入输出操作
[0493.16-0495.00] 需要说明的是
[0495.00-0499.68] 运算器除了包含算数逻辑单元Alu这个核心外
[0499.68-0502.90] 还包含了一些相关计存器
[0502.90-0506.78] 控制器除了包含控制单元CPU这个核心外
[0506.78-0509.79] 也包含了一些相关计存器
[0509.79-0511.55] 这些相关计存器
[0511.55-0515.11] 我们将在后续的计算机的基本工作原理
[0515.11-0518.01] 那节课中进行介绍
[0518.01-0519.05] 另外
[0519.05-0521.61] 由于运算器和控制器
[0521.61-0524.41] 在逻辑关系和电路结构上
[0524.41-0526.69] 联系十分紧密
[0526.69-0530.25] 在大规模集成电路制作工艺出现后
[0530.25-0534.61] 这两大部件往往被集成在同一颗芯片上
[0534.61-0536.81] 成为中央处理器
[0536.85-0540.76] 英文所写词就是我们熟悉的CPU
[0540.76-0542.60] 通过之前的介绍
[0542.60-0546.52] 我们知道存主器分为主存主器
[0546.52-0549.80] 也就是内存和辅助存主器
[0549.80-0551.74] 也就是外存
[0551.74-0556.46] 我们可将CPU与内存合起来成为主机
[0556.46-0561.61] 而输入设备和输出设备和简称为IO设备
[0561.61-0566.51] IO设备与外存可成为外部设备
[0566.51-0569.47] 上述计算机硬件的五大部件之间
[0569.47-0571.76] 通过总线互联
[0571.76-0574.04] 我们之前介绍的数据线
[0574.04-0576.12] 控制线和反规线
[0576.12-0578.61] 都属于总线的范畴
[0578.61-0582.05] 这部分内容会在后续有关总线的那张
[0582.05-0584.30] 具体介绍
[0584.30-0585.58] 总上所说
[0585.58-0590.65] 我们给出现代计算机的结构示意图
[0590.65-0591.61] 接下来
[0591.61-0594.65] 请同学们做几个相关练习题
[0594.65-0599.14] 以巩固本节课所学的相关知识点
[0599.14-0602.02] 请同学们暂停播放视频
[0602.02-0603.50] 思考一下
[0603.50-0611.46] 然后给出你的答案
[0611.46-0614.01] 本题的答案是选项C
[0614.01-0617.01] 相信同学们都能正确完成
[0617.01-0620.00] 我们就不再赘述了
[0620.00-0622.46] 再来看习题二
[0622.46-0625.22] 请同学们暂停播放视频
[0625.22-0626.50] 思考一下
[0626.50-0635.15] 然后给出你的答案
[0635.15-0637.55] 本题的答案是选项D
[0637.55-0639.55] 大家都选对了吗
[0639.55-0642.51] 我们来一起分析一下
[0642.59-0646.27] 指令由操作码和地址码组成
[0646.27-0650.67] 其中操作码用来表示执行何种操作
[0650.67-0655.89] 而地址码用来表示操作数在存储器中的位置
[0655.89-0659.86] 因此选项D的描述错误
[0659.86-0661.99] 再来看习题三
[0661.99-0664.71] 请同学们暂停播放视频
[0664.71-0665.87] 思考一下
[0665.87-0673.21] 然后给出你的答案
[0673.21-0675.69] 本题的答案是选项D
[0675.69-0677.69] 大家都选对了吗
[0677.69-0680.62] 我们来一起分析一下
[0680.62-0684.90] 运算器的核心是算数逻辑单元ALU
[0684.90-0689.42] 其主要功能是进行算数运算和逻辑运算
[0689.42-0692.54] 而不仅仅进行算数运算
[0692.54-0696.40] 因此选项D的描述错误
[0696.40-0698.67] 再来看习题四
[0698.67-0701.59] 请同学们暂停播放视频
[0701.59-0702.87] 思考一下
[0702.87-0710.49] 然后给出你的答案
[0710.49-0712.97] 本题的答案是选项A
[0712.97-0715.85] 相信同学们都能正确完成
[0715.85-0718.86] 我们就不再坠述了
[0718.86-0720.94] 再来看习题五
[0720.94-0723.66] 请同学们暂停播放视频
[0723.66-0724.98] 思考一下
[0724.98-0733.62] 然后给出你的答案
[0733.62-0736.43] 本题的答案是选项B
[0736.43-0739.15] 相信同学们都能正确完成
[0739.15-0741.72] 我们就不再坠述了
[0741.72-0742.68] 接下来
[0742.68-0746.28] 请同学们挑战这道408真题
[0746.28-0748.96] 请同学们暂停播放视频
[0748.96-0750.20] 思考一下
[0750.20-0757.40] 然后给出你的答案
[0757.40-0760.26] 本题的答案是选项C
[0760.26-0763.98] 如果同学们认真完成了之前的习题二
[0763.98-0766.54] 应该可以正确完成该题
[0766.54-0769.37] 我们就不再坠述了
[0769.37-0770.25] 好的
[0770.25-0772.81] 本节课到这里就结束了
[0772.81-0781.75] 我们将本节课的内容小节如下
[0781.75-0782.67] 同学们
[0782.67-0783.99] 我们下节课见
