[0003.38-0007.86] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0355.62-0365.66] 之后,带读取的存储源所连接的航线输入有效信号,这会使得该航所有存储源中的貌似管导通。
[0365.66-0374.14] 对于原本存储电容处于满电状态的这个存储源,其存储电容会向列线放电。
[0374.14-0382.49] 对于原本存储电容处于未充电状态的这个存储源,列线会向其存储电容充电。
[0382.49-0386.49] 对于本行其他存储源,我们就不再追数了。
[0386.49-0394.81] 像列线放电的存储源,其存储电容上的电荷会减少,这将导致列线上的电压增加一点。
[0394.81-0401.97] 我们用加上Delta来表示,相反的给存储源的存储电容充电。
[0401.97-0409.00] 存储电容会从未充电状态增加一点电荷,这将导致列线上的电压减少一点。
[0410.00-0423.29] 我们用减去Delta来表示,需要说明的是,上述电压增加和减少的变化过程,只会发生几纳妙,并且Delta也只有零点几豪福。
[0423.29-0431.70] 这是因为我们之前介绍过了,列线上的寄生电容远大于存储源中的存储电容。
[0431.70-0437.70] 尽管电压变化非常小,但这足以让李敏读出放大器检测的。
[0437.70-0449.99] 因此,可判定在读取存储源所在行的每一个存储源所存储的一味二净值数据,李敏读出放大器还包含有所存器等电路。
[0449.99-0457.15] 用于临时保存刚刚读取出来的数据,我们来解释一下这样做的原因。
[0457.15-0467.44] 从本例可以看出,为了读取一行中某个存储源的信息,却破坏了这一行中所有存储源的信息。
[0467.44-0472.44] 因此,每次读操作过后,必须立即进行写操作。
[0472.44-0485.47] 李敏读出恢复放大器会根据所存的数据,将各条列线拉高到DRAM工作电压VCC或拉低到GND,可简单认为是零电瓶。
[0485.47-0496.24] 以恢复个存储源中电容的原本状态,借原本存储的信息,对于本例如图所示。
[0496.24-0504.24] 这样,这两个存储源中的存储电容会被充电,而这两个存储源中的存储电容会放电。
[0504.24-0511.59] 因此,该行所有存储源又恢复到了读操作之前的原本状态。
[0511.59-0517.59] 至此,我想同学们就已经理解了,李敏读出恢复放大器中恢复的含义。
[0517.59-0525.04] 最后,给出列显通信号,就可将列线上的数据输出到外部。
[0525.04-0531.04] 需要说明的是,由于DRAM存储阵列,比SRAM存储阵列的工作原理复杂。
[0531.04-0540.04] 为了简单起见,我们将存储源的原本两条位线D和D反合并为了一条,并简称为列线。
[0541.07-0549.07] 而每一列所有存储源共享的两个貌似管,以及控制这两个貌似管的列选层线也未画出。
[0549.07-0558.33] 另外,通过本例可以发现,DRAM的行选层信号和列选层信号并不是同时给出的。
[0558.33-0566.33] 因此,DRAM存储通常将行地的线和列地的线附用,以减少地址引脚数目。
[0566.33-0569.33] 没有理解这一点的同学,不用担心。
[0569.33-0575.33] 我们在下下节课介绍具体DRAM芯片时,大家就可以体会到了。
[0575.33-0583.71] 完成数据的独操作号,撤除行选层信号,关闭零敏读出恢复放大器。
[0583.71-0589.84] 至此,独操作完成,我们总结出DRAM的独操作流程。
[0589.84-0595.10] 步骤一,御充电操作,步骤二,访问操作。
[0595.10-0598.10] 步骤三,信号检测。
[0598.10-0601.19] 步骤四,数据恢复。
[0601.19-0603.19] 步骤五,数据输出。
[0603.19-0612.61] DRAM的写操作流程的前四步,与其独操作流程是相同的,而步骤五为数据输入。
[0612.61-0618.80] 之所以写操作流程需要经历与独操作前四步一样的流程。
[0618.80-0624.80] 这是为了写操作,也可以实现和独操作一样的行刷新功能。
[0624.80-0630.12] 至此,同学们已经学习了DRAM和SRAM的相关知识。
[0630.12-0636.12] 为了加深同学们的理解和记忆,我们来对比一下DRAM和SRAM。
[0636.12-0640.57] 我们来一起填写DRAM的相关内容。
[0640.57-0645.82] 典型的DRAM存储员有一个貌似寡和一个电容组成。
[0645.82-0655.02] 由于对DRAM存储员的独操作就破坏性,因此独操作后需要进行数据恢复。
[0655.02-0662.30] 由于DRAM存储员的存储电容的电荷会泄漏,因此需要动态刷新。
[0662.30-0665.85] 我们将在下节课进一步介绍。
[0665.85-0670.85] DRAM的航选通信号和列选通信号并不是同时给出的。
[0670.85-0676.91] 因此DRAM存储企业通常将航地的线和列地的线附用。
[0676.91-0682.91] 以减少地址引脚数目,我们将在下节课进一步介绍。
[0682.91-0692.23] 相较于DRAM的运行速度慢,集成度高,发热量小,存储成本低。
[0692.23-0700.81] DRAM锻炼号信息会丢失,属于意识性存储器。DRAM常用作PC的主存。
[0700.81-0706.16] DRAM的相关内容,我们是在前几次课中介绍的。
[0707.16-0719.06] 请同学们自行填写,请同学们暂停播放视频,务必复习一下。
[0719.06-0724.15] 希望同学们都能正确完成,我们就不再追数了。
[0724.15-0727.15] 好的,本节课到这里就结束了。
[0727.15-0730.15] 同学们,我们下节课见!
