[0004.56-0008.60] 同學們好,歡迎大家來到我的計算機組成員裡維克堂
[0536.94-0539.90] 其帶寬提高到了2.1G字節每秒
[0539.90-0544.38] 而用於連接北橋芯片與CPU之間的前端總線
[0544.38-0548.26] 其帶寬甚至提高到了6.4G字節每秒
[0548.26-0550.98] 該表格給出了不同物理外頻下
[0550.98-0552.98] 相應的前端總線帶寬
[0552.98-0554.98] 有關總線帶寬的計算
[0554.98-0558.66] 我們在之前本章有關總線性能指標的那節課中
[0558.66-0560.42] 已經給同學們介紹過了
[0560.42-0563.46] 因此該表格中的不同物理外頻下
[0563.46-0566.74] 相應的前端總線帶寬是如何計算得出的
[0566.74-0568.45] 就不再墜速了
[0568.45-0569.97] 該表給出的是
[0569.97-0573.09] 圖中各種組件的時鐘來源及用途
[0573.09-0575.17] 請同學們暫停播放視頻
[0575.17-0576.53] 快速瀏覽一下
[0576.53-0581.68] 了解即可
[0581.68-0582.40] 接下來
[0582.40-0583.84] 我們重點分析一下
[0583.84-0586.64] 北橋芯片與內存之間的帶寬
[0586.64-0588.24] 從該圖可以看出
[0588.24-0592.32] 北橋芯片通過通道A和通道B連接內存
[0592.32-0595.20] 每個通道包含兩個內存插槽
[0595.20-0598.72] 該表格給出了不同物理外頻和時鐘比率下
[0598.88-0601.44] 內存單通道的帶寬峰值
[0601.44-0603.76] 我們以物理外頻200兆赫茲
[0603.76-0605.36] 時鐘比率1比1
[0605.36-0607.68] 可達到的單通道內存帶寬峰值
[0607.68-0609.44] 3.2G字節每秒為例
[0609.44-0610.91] 進行說明
[0610.91-0613.47] 當我們將一根參數匹配的內存條
[0613.47-0616.43] 插入四個內存插槽中的任何一個時
[0616.43-0619.07] 就是所謂的內存單通道
[0619.07-0621.47] 當我們將兩個參數匹配的內存條
[0621.47-0624.67] 分別插入兩個通道中的對應插槽時
[0624.67-0627.34] 就是所謂的內存雙通道
[0627.34-0628.62] 請同兄注意
[0628.62-0630.94] 如果將兩根參數匹配的內存條
[0630.94-0633.90] 插入某個通道中的兩個插槽時
[0633.90-0635.98] 這仍然是內存單通道
[0635.98-0638.16] 無法達到性能最優
[0638.16-0639.04] 實際上
[0639.04-0640.48] 在計算機主板上
[0640.48-0643.60] 會用不同顏色的內存插槽提示用戶
[0643.60-0644.72] 以方便用戶
[0644.72-0647.68] 將兩根內存條插入相應插槽中
[0647.68-0649.95] 以實現內存雙通道
[0649.95-0650.83] 當然了
[0650.83-0653.23] 如果將內存插槽全部插滿
[0653.23-0656.22] 實現的仍然是內存雙通道
[0656.30-0657.90] 另外需要說明的是
[0657.90-0659.98] 代表格中的始終比率機制
[0659.98-0661.90] 是為了使CPU的工作頻率
[0661.90-0663.66] 與內存模塊的工作頻率
[0663.66-0666.30] 可以獨立靈活的設置與匹配
[0666.30-0668.46] 以實現系統設計的兼容性
[0668.46-0670.62] 穩定性和性能優化
[0670.62-0672.30] 喜歡超頻的同學
[0672.30-0674.27] 可能更有體會
[0674.27-0676.67] 該芯片組中的其他接口的參數
[0676.67-0678.83] 我們就不再一一介紹了
[0678.83-0679.87] 相信同學們
[0679.87-0682.03] 利用已協許過的總線知識
[0682.03-0685.15] 結合自身對計算機的日常使用經驗
[0685.23-0687.15] 特別是組裝台式機
[0687.15-0690.19] 或選型筆記本電腦時所做的功課
[0690.19-0691.58] 都能看懂
[0691.58-0693.02] 需要說明的是
[0693.02-0695.18] 目前在個人計算機中
[0695.18-0697.26] 儘管AGB圖形加速接口
[0697.26-0698.62] PCI總線接口
[0698.62-0700.70] 用於連接硬盤的ID接口
[0700.70-0701.98] 都已淘汰
[0701.98-0702.70] 但是
[0702.70-0705.74] 這種早期高性能總線結構的設計思想
[0705.74-0707.89] 是需要同學們理解的
[0707.89-0709.89] 可能有些同學已經發現了
[0709.89-0710.93] HI接口
[0710.93-0712.61] 作為連接北橋芯片
[0712.61-0714.93] 和南橋芯片的唯一通道
[0715.01-0717.41] 其266兆字件每秒的帶寬
[0717.41-0719.17] 是系統的短板
[0719.17-0719.97] 實際上
[0719.97-0721.73] 在AGP時代末期
[0721.73-0723.73] 它已無法匹配潛能總線
[0723.73-0725.89] 內存和顯卡的高速
[0725.89-0728.05] 也限制了南橋所掛接的
[0728.05-0730.66] 新型高速設備的性能發揮
[0730.66-0733.06] 英特公司在2008年底
[0733.06-0734.98] 推出了X58芯片組
[0734.98-0737.30] 與其第一代酷刃I7系列處理器
[0737.30-0738.50] 搭配使用
[0738.50-0741.38] 成為了當時旗艦級桌面平台
[0741.38-0743.06] 在基於X58芯片組的
[0743.06-0744.58] 系統總線結構中
[0744.58-0746.18] 最重大的改進就是
[0746.18-0748.58] 為提升主存的訪問性能
[0748.58-0749.54] 內存控制器
[0749.54-0751.78] 不再集成到北橋芯片中
[0751.78-0754.34] 而是直接集成到CPU中
[0754.34-0755.14] 相信的
[0755.14-0759.90] 北橋芯片也由MCH改名為IOH
[0759.90-0760.70] 另外
[0760.70-0762.62] 北橋芯片與CPU之間的
[0762.62-0764.46] 潛能總線FSB
[0764.46-0767.26] 被新一代QPI總線所取代
[0767.26-0770.16] 峰值貸寬提高了4倍
[0770.16-0772.48] 北橋芯片與南橋芯片之間的
[0772.48-0773.60] HI接口
[0773.60-0775.60] 被DMI接口所取代
[0775.68-0776.64] 峰值貸寬
[0776.64-0778.64] 由266兆字節每秒
[0778.64-0781.04] 提升到了2G字節每秒
[0781.04-0783.79] 緩解了南北橋之間的短板
[0783.79-0784.51] 接下來
[0784.51-0787.57] 我們簡單介紹一下QPI總線
[0787.57-0788.77] 如讀所示
[0788.77-0790.93] QPI總線採用同步串形
[0790.93-0792.37] 全雙功傳輸
[0792.37-0793.97] 始終線和數據線
[0793.97-0795.89] 都採用X分信號
[0795.89-0797.09] 每個傳輸方向
[0797.09-0799.01] 都有20對X分數據線
[0799.01-0800.77] 用來傳輸數據信號
[0800.77-0803.09] 以及一對專用的X分始終線
[0803.09-0805.09] 來傳輸始終信號
[0805.09-0805.89] 因此
[0805.89-0808.45] QPI總線包含84條線
[0808.45-0811.31] 屬於典型的並串形通信
[0811.31-0812.91] 上述這段話中
[0812.91-0814.43] 包含的同步
[0814.43-0815.15] 串形
[0815.15-0815.95] 全雙功
[0815.95-0816.83] X分信號
[0816.83-0818.03] 並串形通信
[0818.03-0818.99] 這些概念
[0818.99-0821.31] 我們在本章都已經學習過了
[0821.31-0822.43] 忘記了同學
[0822.43-0825.74] 請再回憶一下
[0825.74-0826.70] QPI總線
[0826.70-0828.46] 在物理線路的基礎上
[0828.46-0830.62] 採用基於包傳輸的協議
[0830.62-0833.58] 單向20位數據並發串形傳輸
[0833.58-0834.30] 其中
[0834.30-0836.14] 16位為有效數據
[0836.22-0838.62] 也就是兩字節有效數據
[0838.62-0841.50] 四位是循環容易教驗CLC位
[0841.50-0842.62] 用於檢測
[0842.62-0844.70] 以提高系統可靠性
[0844.70-0846.14] 一個QPI數據包
[0846.14-0847.34] 為80位
[0847.34-0851.17] 需要4次才能傳輸完一個QPI數據包
[0851.17-0855.09] 如果QPI總線的工作頻率為6.4GT每秒
[0855.09-0858.77] 也就是每秒進行6.4G次傳輸
[0858.77-0861.73] 和QPI總線雙向傳輸總代寬微
[0861.73-0864.11] 25.6G字節每秒
[0864.11-0865.07] QPI總線
[0865.07-0868.35] 除了用於CPU與北橋芯片的互聯外
[0868.35-0870.67] 還可用於多CPU互聯
[0870.67-0872.83] 實現4個CPU全互聯
[0872.83-0876.69] 需要6個獨立的QPI總線
[0876.69-0879.17] 北橋芯片與南橋芯片之間
[0879.17-0880.85] 原先的HI接口
[0880.85-0883.01] 被DMI接口所取代
[0883.01-0886.61] DMI本質上是基於PCIe 1.1協議
[0886.61-0889.81] 修改而來的高速XSN串形總線
[0889.81-0893.01] 但是可以通過多條PCIe串形總線
[0893.01-0894.29] 也成為通道
[0894.29-0896.61] 並行傳輸串形數據
[0896.61-0899.73] 下面給出的是DMI的主要參數
[0899.73-0900.93] 根據這些參數
[0900.93-0903.84] 我們可以得到單通道有效代寬
[0903.84-0906.42] 四通道單向有效代寬
[0906.42-0908.64] 雙向總有效代寬
[0908.64-0910.80] 請同學們暫停播放視頻
[0910.80-0912.16] 根據所給參數
[0912.16-0915.34] 自行分析相關代寬的計算
[0915.34-0917.82] 請同學們務必動手練習一下
[0917.82-0919.02] 本節課的最後
[0919.02-0921.58] 會由與總線代寬計算相關的
[0921.66-0923.42] 408考研歷年真題
[0923.42-0930.62] 請同學們挑戰
[0930.62-0933.18] 在X58芯片組的北橋芯片中
[0933.18-0935.98] 集成有PCIe 2.0圖形接口
[0935.98-0937.90] 支持多顯卡配置
[0937.90-0941.81] 該表給出了多種配置模式
[0941.81-0945.33] 另外X58是英特爾歷史上唯一一代
[0945.33-0947.01] 在高端桌面平台上
[0947.01-0949.81] 採用內存三通道架構的芯片組
[0949.81-0950.85] 如同所示
[0950.85-0954.45] 這是一款當時採用X58芯片組的主板
[0954.45-0957.01] 該主板擁有六個內存插槽
[0957.09-0960.62] 每個內存通道包含兩個內存插槽
[0960.62-0962.06] 我們給出該圖中
[0962.06-0964.62] 每個內存通道的代寬計算
[0964.62-0965.98] 類似這種計算
[0965.98-0966.94] 我們在本章
[0966.94-0969.26] 有關總線性能指標的那些課中
[0969.26-0970.54] 已經通過舉例
[0970.54-0973.34] 以及相關的408考研歷年真題
[0973.34-0975.10] 請同學們練習過了
[0975.10-0977.47] 因此就不再墜速了
[0977.47-0979.47] 可能有的同學已經發現了
[0979.47-0980.51] 官方圖片中
[0980.51-0983.33] 這裡的比特應改為字節
[0983.33-0985.25] 根據內存單通道代寬
[0985.33-0986.29] 我們還可以得出
[0986.29-0988.69] 內存三通道的總代寬
[0988.69-0989.97] 需要說明的是
[0989.97-0991.33] 按照行業慣例
[0991.33-0993.01] 內存條的規格描述中
[0993.01-0993.97] 往往給出的是
[0993.97-0995.65] 內存的傳輸頻率
[0995.65-0997.09] 也稱為工作頻率
[0997.09-1000.26] 而不是始終頻率
[1000.26-1000.98] 另外
[1000.98-1002.50] 同學們大致計算一下
[1002.50-1004.58] X58芯片組的南橋芯片
[1004.58-1006.94] 所支持的各類接口總線的代寬
[1006.94-1008.10] 就會發現
[1008.10-1011.62] X58芯片組的南北橋之間的DMI接口代寬
[1011.62-1014.29] 仍然存在短板效應
[1014.29-1016.65] 在2015到2016年
[1016.65-1017.93] 英特爾公司推出了
[1017.93-1019.61] 100系列芯片組
[1019.61-1021.61] 例如Z170
[1021.61-1024.89] 與英特爾第六代庫瑞處理器搭配使用
[1024.89-1025.69] 此時
[1025.69-1028.29] 基於PCIE2.0的圖形接口
[1028.29-1029.61] 已經升級為基於
[1029.61-1031.77] PCIE3.0的圖形接口
[1031.77-1034.61] 並且不再集成到北橋芯片中
[1034.61-1036.97] 而直接集成到了CPU中
[1036.97-1037.73] 因此
[1037.73-1040.01] 北橋芯片就此消失
[1040.01-1041.45] 相應的南橋芯片
[1041.45-1044.54] SCH改名為PCH
[1044.54-1045.18] 另外
[1045.18-1047.38] 由於不再使用北橋芯片
[1047.38-1050.34] 原本用於南北橋之間的DMI接口
[1050.34-1053.26] 現在用於CPU與南橋之間的接口
[1053.26-1055.26] 並且升級為3.0版本
[1055.26-1056.86] 四通道並發傳輸
[1056.86-1059.06] 代寬為8G字節每秒
[1059.06-1060.26] 還有一點就是
[1060.26-1064.24] 內存從DDR3升級到了DDR4
[1064.24-1064.92] 至此
[1064.92-1067.40] 我們就以英特爾公司的芯片組為例
[1067.40-1069.76] 給同學們介紹了高性能系統總線
[1069.76-1072.60] 發展過程中的三個典型代表
[1072.60-1075.00] 給同學們布置一個刻板任務
[1075.00-1076.56] 那就是調研一下
[1076.56-1079.56] 當前主流PC平臺採用的芯片組
[1079.56-1081.80] 和相應的系統總線結構
[1081.80-1084.00] 以及所支持的內存規格
[1084.00-1085.52] 顯卡規格
[1085.52-1088.56] 最好對英特爾和AMD兩大陣營
[1088.56-1091.46] 都調研一下
[1091.46-1092.14] 好的
[1092.14-1092.82] 接下來
[1092.82-1094.02] 請同學們挑戰
[1094.02-1095.70] 與本節課內容相關的
[1095.70-1097.94] 四英八考研歷年針題
[1097.94-1100.86] 首先來挑戰2019年的題十九
[1100.86-1103.10] 請同學們暫停播放視頻
[1103.10-1104.50] 動手練習一下
[1104.50-1111.65] 然後給出你的答案
[1111.65-1113.53] 本題的答案是選項B
[1113.53-1115.05] 大家都選對了嗎
[1115.05-1117.09] 我們來一起分析一下
[1117.09-1118.09] 對於本題
[1118.09-1119.37] 相信同學們結合
[1119.37-1121.29] 已經學習過的總線知識
[1121.29-1123.01] 以及本節課的這個例子
[1123.01-1124.45] 都能正確完成
[1124.45-1125.05] 因此
[1125.05-1126.85] 我們就不再贅述了
[1126.85-1132.34] 這是本題的相關計算和結果
[1132.34-1134.98] 再來挑戰2020年的題十九
[1134.98-1137.18] 請同學們暫停播放視頻
[1137.18-1138.54] 動手練習一下
[1138.54-1145.66] 然後給出你的答案
[1145.66-1147.58] 本題的答案是選項C
[1147.58-1149.06] 大家都選對了嗎
[1149.06-1151.18] 我們來一起分析一下
[1151.18-1154.34] 本題的題戰是對QPI總線的描述
[1154.34-1155.22] 即使本節課
[1155.22-1157.98] 我們沒有給同學們介紹過QPI總線
[1157.98-1159.46] 同學們根據在本章中
[1159.46-1162.02] 之前已經學習過的總線相關知識
[1162.02-1165.02] 以及做過的一些習題和考研針題
[1165.02-1167.54] 應該也能正確完成本題
[1167.54-1168.22] 因此
[1168.22-1174.48] 我們直接給出本題的相關計算和結果
[1174.48-1175.20] 好的
[1175.20-1177.44] 本節課到這裡就結束了
[1177.44-1193.39] 請同學們快速回憶一下本節課的主要內容
[1193.39-1194.11] 同學們
[1194.11-1195.23] 我們下節課見
