[0003.82-0007.62] 同學們好,歡迎大家來到我的計算機組成員李維克堂
[0276.32-0279.72] 然後重新執行剛才那條訪問指令
[0279.72-0282.37] 這次就能成功執行了
[0282.37-0284.17] 自限這種內部異常
[0284.17-0286.07] 是一種主動的異常
[0286.07-0287.57] 異常處理完成後
[0287.57-0289.47] 繼續執行下一條指令
[0289.57-0292.87] 不需要重新執行出發異常的那條指令
[0292.87-0295.67] 例如程序而編寫程序時
[0295.67-0298.27] 有一天家用於出發異常的指令
[0298.27-0301.87] 其目的是為了跳轉到異常處理程序
[0301.87-0303.77] 例如系統調用
[0303.77-0308.07] 程序執行一條特殊指令來請求操作系統服務
[0308.07-0310.77] 指令執行後自動陷入內核泰
[0310.77-0313.37] 在內核泰中處理完請求後
[0313.37-0317.64] 返回到用戶泰繼續執行下一條指令
[0317.64-0319.44] 終止這種內部異常
[0319.44-0322.24] 是一種嚴重的不可恢復的錯誤
[0322.24-0324.44] 通常是嚴重的印榨錯誤
[0324.44-0326.14] 如內存教院錯誤
[0326.14-0327.54] 總先錯誤等
[0327.54-0330.04] 系統可能只能記錄錯誤信息
[0330.04-0332.92] 並盡力安全的關機
[0332.92-0333.62] 至此
[0333.62-0335.52] 不知同學們是否想起來了
[0335.52-0336.62] 有關故障
[0336.62-0337.22] 字線
[0337.22-0339.52] 終止這三類內部異常
[0339.52-0340.22] 實際上
[0340.22-0342.32] 我們在第六章中央處理器中
[0342.32-0346.03] 已經給同學們進行過介紹
[0346.03-0348.73] 而外部中斷和進一步西分為
[0348.73-0351.63] 可屏蔽中斷和不可屏蔽中斷
[0351.63-0354.63] 我們給出這兩類外部中斷的對比表格
[0354.63-0356.73] 請同學們暫停播放視頻
[0356.73-0358.33] 快速瀏覽一遍
[0358.33-0359.63] 看不懂沒有關係
[0359.63-0361.53] 只是留一個初步印象
[0361.53-0362.63] 表格中的內容
[0362.63-0364.93] 我們在之後有關中斷的幾次課中
[0364.93-0370.94] 都會涉及到
[0370.94-0371.74] 好的
[0371.74-0373.74] 從以上介紹可以看出
[0373.74-0376.04] 故障和字線這兩類內部異常
[0376.04-0377.84] 屬於軟件中斷
[0377.84-0379.84] 而終止這種內部異常
[0379.84-0382.54] 以及可屏蔽中斷和不可屏蔽中斷
[0382.54-0385.94] 這兩類外部中斷都屬於硬件中斷
[0385.94-0386.74] 另外
[0386.74-0389.74] 可屏蔽中斷保證了操作系統的可控性
[0389.74-0392.64] 避免被不重要的事件頻繁打斷
[0392.64-0394.74] 因此優先級最低
[0394.74-0397.14] 而不可屏蔽中斷則為系統提供了
[0397.14-0400.64] 處理最緊急和最重要事件的綠色通道
[0400.64-0403.44] 因此優先級最高
[0403.44-0406.64] 在同學們了解了中斷的作用和分類後
[0406.64-0407.34] 接下來
[0407.34-0409.64] 我們給同學們介紹向量中斷
[0409.64-0410.84] 非向量中斷
[0410.84-0414.08] 單級中斷多重中斷的相關概念
[0414.08-0416.58] 首先來看向量中斷和非向量中斷的
[0416.58-0417.98] 相關概念
[0417.98-0419.48] 對於向量中斷
[0419.48-0422.78] 每種中斷源預先分配唯一的向量地址
[0422.78-0426.28] 存儲在中斷向量表或硬件基存器中
[0426.28-0427.88] 設備出發中斷後
[0427.88-0431.98] 硬件自動根據中斷源識別對應的向量地址
[0431.98-0436.78] CPU直接加在向量地址指向的中斷服務程序ISR
[0436.78-0438.58] 無需額外查詢步驟
[0438.58-0440.78] 因此想應速度快
[0440.78-0442.68] 例如X86系統中
[0442.68-0446.08] 外務中斷通過可編成中斷控制器PIC
[0446.08-0447.68] 生成向量號
[0447.68-0453.17] CPU據此從內存中讀取中斷服務程序的地址並執行
[0453.17-0454.87] 對於非向量中斷
[0454.87-0457.87] 多個設備可能共享同一中斷請求線
[0457.87-0460.57] 硬件而解能識別有中斷發生
[0460.57-0463.04] 無法直接定位具體設備
[0463.04-0464.64] CPU想應中斷後
[0464.64-0468.04] 去通過軟件逐個查詢設備狀態基存器
[0468.04-0470.27] 確定觸發中斷的設備
[0470.27-0471.77] 根據查詢結果
[0471.77-0476.07] 通過條件分支指令跳轉到對應設備的中斷服務程序
[0476.07-0477.57] 流程相對繁瑣
[0477.57-0479.97] 因此想應速度攪慢
[0479.97-0482.37] 例如早期AM處理器中
[0482.37-0486.47] 外務中斷請求RQ可能有多個外設共享
[0486.47-0488.47] 需要在中斷服務程序開頭
[0488.47-0490.97] 通過讀取外設狀態基存器
[0490.97-0493.90] 判斷具體中斷源
[0493.90-0495.20] 在同學們了解了
[0495.20-0498.50] 向量中斷和非向量中斷的相關概念號
[0498.50-0502.16] 我們來看單極中斷和多重中斷的相關概念
[0502.16-0503.76] 對於單極中斷
[0503.76-0505.66] 執行中斷服務程序時
[0505.66-0507.86] 不再想應其他中斷請求
[0507.86-0509.66] 而對於多重中斷
[0509.66-0511.66] 執行中斷服務程序時
[0511.66-0514.36] 可以被更高優先級的中斷請求打斷
[0514.36-0516.26] 也成為嵌套中斷
[0516.26-0517.76] 請同學們注意
[0517.76-0519.96] 單極中斷和多重中斷
[0519.96-0523.56] 都可以有多個中斷源和中斷優先級
[0523.56-0525.06] 二者的區別在於
[0525.06-0527.49] 多個中斷之間能否嵌套
[0527.59-0528.39] 接下來
[0528.39-0530.59] 我們畫出單極中斷的示意圖
[0530.59-0532.79] 使同學們更容易理解
[0532.79-0535.69] 假設CPU在執行主程序的過程中
[0535.69-0537.59] 收到了一號中斷請求
[0537.59-0541.29] 於是轉去執行一號中斷的服務子程序
[0541.29-0544.39] 而在一號中斷服務子程序的執行過程中
[0544.39-0547.29] CPU又收到了零號中斷請求
[0547.29-0549.39] 由於採用的是單極中斷
[0549.39-0550.29] 因此
[0550.29-0552.39] 一號中斷服務子程序的執行過程
[0552.39-0553.69] 不會被打斷
[0553.69-0556.69] 只有當一號中斷服務子程序執行完畢
[0556.79-0558.69] 並返回主程序號
[0558.69-0560.49] 才能響應更高優先級的
[0560.49-0563.48] 零號中斷請求的服務子程序
[0563.48-0565.98] 零號中斷服務子程序執行完畢號
[0565.98-0569.21] 返回主程序繼續往下執行
[0569.21-0571.31] 可能有的同學會有這樣的疑問
[0571.31-0572.21] 那就是
[0572.21-0573.91] 既然對於單極中斷
[0573.91-0576.11] 某個中斷服務子程序的執行過程
[0576.11-0579.21] 不能被更高優先級的中斷請求打斷
[0579.21-0581.51] 那麼設置中斷優先級機制
[0581.51-0584.99] 還有什麼意義呢
[0584.99-0586.89] 答案是有意義
[0586.89-0588.89] 因為如果有多個中斷源
[0588.89-0591.79] 同時向CPU發起中斷請求
[0591.79-0592.89] 則此時
[0592.89-0597.01] CPU會首先響應中斷優先級高的中斷
[0597.01-0599.91] 我們再來畫出多重中斷的示意圖
[0599.91-0602.51] 假設CPU在執行主程序的過程中
[0602.51-0604.61] 收到了一號中斷請求
[0604.61-0608.41] 於是轉去執行一號中斷的服務子程序
[0608.41-0611.21] 而在一號中斷服務子程序的執行過程中
[0611.21-0614.21] CPU又收到了零號中斷請求
[0614.21-0616.31] 由於採用的是多重中斷
[0616.31-0618.61] 並且零號中斷請求的服務子程序的
[0618.71-0623.21] 優先級高於一號中斷請求的服務子程序的優先級
[0623.21-0627.51] 因此一號中斷請求的服務子程序執行過程被打斷
[0627.51-0631.80] CPU轉去執行零號中斷請求的服務子程序
[0631.80-0635.10] 零號中斷請求的服務子程序執行完畢後
[0635.10-0640.03] 會返回到一號中斷請求的服務子程序繼續往下執行
[0640.03-0642.53] 一號中斷服務子程序執行完畢後
[0642.53-0646.30] 返回主程序繼續往下執行
[0646.30-0650.80] 對比單級中斷和多重中斷各自的試意圖不斷發現
[0650.80-0655.70] 對於單級中斷先被CPU響應的中斷服務程序先完成
[0655.70-0661.99] 而對於多重中斷先被CPU響應的中斷服務程序不一定先完成
[0661.99-0664.89] 好的接下來請同學們挑戰幾道
[0664.89-0668.79] 與本節課內容相關的408考研一年整題
[0668.79-0672.19] 首先來挑戰2009年的題22
[0672.19-0674.39] 請同學們暫停播放視頻
[0674.39-0677.19] 思考一下然後給出你的答案
[0677.19-0683.90] 本題的答案是選項A
[0683.90-0685.30] 大家都選對了嗎?
[0685.30-0687.30] 我們來一起分析一下
[0687.30-0688.50] 如族所示
[0688.50-0692.00] 這是在本節課中給同學們介紹的中斷分類
[0692.00-0695.80] 本題選項A中的鍵盤輸入屬於外部中斷
[0695.80-0699.90] 而選項B、C、D分別給出的除數為0
[0699.90-0701.30] 伏點運算下益
[0701.30-0704.10] 仿存缺頁都屬於內部異常
[0704.10-0705.30] 總上所述
[0705.30-0707.78] 本題的答案是選項A
[0707.78-0710.68] 再來挑戰2020年的題20
[0710.68-0712.98] 請同學們暫停播放視頻
[0712.98-0713.98] 思考一下
[0713.98-0715.98] 然後給出你的答案
[0715.98-0722.56] 本題的答案是選項C
[0722.56-0724.16] 大家都選對了嗎?
[0724.16-0725.96] 我們來一起分析一下
[0725.96-0727.16] 如族所示
[0727.16-0730.96] 這是在本節課中給同學們介紹的中斷分類
[0730.96-0733.02] 本題中選項2和3
[0733.02-0734.82] 給出的定時器到時
[0734.82-0736.42] 網絡數據班到達
[0736.42-0738.42] 都屬於外部中斷事件
[0738.42-0741.32] 本題選項1給出的仿存式缺頁
[0741.32-0743.12] 屬於內部異常事件
[0743.12-0744.32] 總上所述
[0744.32-0746.52] 本題的答案是選項C
[0746.52-0747.81] 好的
[0747.81-0749.81] 本節課到這裡就結束了
[0749.81-0752.01] 請同學們快速回憶一下
[0752.01-0753.81] 本節課的主要內容
[0753.81-0766.81] 同學們
[0766.81-0768.21] 我們下節課見
