[0004.62-0008.62] 同學們好,歡迎大家來到我的集算機組成員里威克堂
[0302.44-0306.14] 指令4正出於一碼共同段讀取R3的內容
[0306.14-0309.24] 然而,此時出於寫回共同段的指令1
[0309.34-0314.94] 正在將指令2到指令5都需要用到的運算結果寫回到R3
[0314.94-0318.14] 因此,指令2到指令4都屬於
[0318.14-0322.34] 在指令1將運算結果完全寫入到計存器R3之前
[0322.34-0324.44] 就對R3進行了讀取
[0324.44-0328.44] 也就是,讀取到的並不是實際想要的值
[0328.44-0330.54] 這屬於RAW衝突
[0330.54-0333.74] 而此時,指令5出於取取共同段
[0333.74-0337.54] 當下一個時鐘到來時,指令1從流水線流出
[0337.64-0339.64] 也就是指令1執行完畢
[0339.64-0343.14] 請運算結果以寫回到計存器R3
[0343.14-0347.14] 而指令5進入一碼共同段對R3進行讀取
[0347.14-0350.24] 讀取到的是所需要的運算結果
[0350.24-0354.74] 因此,儘管指令5與指令1存在RAW相關
[0354.74-0358.27] 但不會產生RAW衝突
[0358.27-0360.77] 好的,經過上述分析號
[0360.77-0364.07] 我們一起來畫,本力踩入插入氣泡的方案
[0364.07-0367.25] 解決RAW衝突的時空圖
[0367.35-0371.65] 第一個時鐘到來時,指令1在取取共同段被取出
[0371.65-0376.12] 第二個時鐘到來時,指令1進入到一碼共同段處理
[0376.12-0378.92] 指令2在取取共同段被取出
[0378.92-0383.51] 第三個時鐘到來時,指令1進入到執行共同段處理
[0383.51-0386.11] 指令2進入到一碼共同段處理
[0386.11-0388.91] 指令3在取取共同段被取出
[0388.91-0392.41] 可以看到,當前出於一碼共同段的指令2
[0392.41-0396.61] 與出於執行共同段的指令1存在RAW相關
[0396.71-0400.01] 因此,我們需要在指令流水線的邏輯架構中
[0400.01-0402.11] 增加相應的硬件邏輯
[0402.11-0404.31] 對出於一碼共同段的指令
[0404.31-0407.31] 與出於執行共同段的指令的數據相關性
[0407.31-0409.11] 進行檢測和處理
[0409.11-0411.91] 否則就會產生RAW衝突
[0411.91-0414.61] 這樣,第四個時鐘到來時
[0414.61-0417.11] 指令1進入到仿存共同段處理
[0417.11-0420.01] 而指令2被阻塞在一碼共同段
[0420.01-0423.71] 相應的,指令3被阻塞在取取共同段
[0423.71-0425.91] 在執行共同段插入氣泡
[0426.01-0428.01] 也就是空噪座指令
[0428.01-0431.11] 這樣就消除了出於一碼共同段的指令
[0431.11-0434.61] 與出於執行共同段的指令的數據相關性
[0434.61-0437.91] 然而,當前出於一碼共同段的指令2
[0437.91-0440.21] 與出於仿存共同段的指令1
[0440.21-0442.41] 仍存在RAW相關
[0442.41-0446.01] 因此,我們還需要在指令流水線的邏輯架構中
[0446.01-0448.21] 增加相應的硬件邏輯
[0448.21-0450.31] 對出於一碼共同段的指令
[0450.31-0453.51] 與出於仿存共同段的指令的數據相關性
[0453.51-0455.21] 進行檢測與處理
[0455.31-0458.11] 否則就會產生RAW衝突
[0458.11-0460.71] 這樣,第五個是用到來時
[0460.71-0463.11] 指令1進入到血回共同段處理
[0463.11-0467.01] 而其後的空噪座指令進入到仿存共同段處理
[0467.01-0470.31] 而指令2仍被阻塞在一碼共同段
[0470.31-0474.11] 相應的,指令3仍被阻塞在取取共同段
[0474.11-0476.48] 在執行共同段插入氣泡
[0476.48-0478.58] 也就是空噪座指令
[0478.58-0481.88] 這樣就消除了出於一碼共同段的指令
[0481.88-0485.28] 與出於仿存共同段的指令的數據相關性
[0485.28-0488.80] 然而,當前出於一碼共同段的指令2
[0488.80-0491.10] 與出於血回共同段的指令1
[0491.10-0493.30] 仍存在RAW相關
[0493.30-0495.00] 我想同學們都知道
[0495.00-0497.10] 那就是下一個是中道來時
[0497.10-0500.00] 仍然將指令2阻塞在一碼共同段
[0500.00-0503.30] 相應的,指令3被阻塞在取取共同段
[0503.30-0505.80] 而指令1從流水線流出
[0505.80-0507.50] 也就是執行完畢
[0507.50-0510.20] 之前插入的兩個空噪座指令
[0510.20-0513.60] 分別進入到血回共同段和仿存共同段
[0513.60-0515.90] 在執行共同段插入氣泡
[0515.90-0517.60] 也就是空噪座指令
[0517.60-0520.70] 這樣就消除了出於一碼共同段的指令
[0520.70-0524.00] 與出於血回共同段的指令的數據相關性
[0524.00-0527.66] 實際上,為了防止出於一碼共同段的指令
[0527.66-0529.66] 與出於血回共同段的指令
[0529.66-0531.46] 產生RAW衝突
[0531.46-0533.86] 可以在時鐘信號上想辦法
[0533.86-0536.06] 使得在時鐘信號的控制下
[0536.06-0539.06] 先完成血回,再完成讀取
[0539.26-0541.46] 這樣就不需要插入氣泡
[0541.46-0544.16] 進而提高指令流水線的存土量
[0544.16-0547.76] 因此,存在RAW相關的相鄰指令之間
[0547.76-0550.26] 只需要插入連續兩個氣泡
[0550.26-0553.06] 即可避免產生RAW衝突
[0553.06-0555.46] 接下來,我們基於以上分析
[0555.46-0558.96] 對其相應的硬件邏輯實現進行分析
[0558.96-0560.16] 如同所示
[0560.16-0563.26] 這是基於單週期密布斯的專用數據通路
[0563.26-0566.66] 改造而來的標準五段流水線邏輯架構
[0566.66-0570.86] 並且已經實現了結構相關和控制相關的處理
[0570.86-0573.26] 也就是不會產生結構衝突
[0573.26-0576.46] 和由分析指令引起的控制衝突
[0576.46-0580.16] 這是我們上上次課給同學們介紹過的內容
[0580.16-0582.56] 另外,該邏輯架構還實現了
[0582.56-0584.56] 本節課我們剛剛分析過的
[0584.56-0587.96] 對RAW相關進行處理的硬件邏輯
[0587.96-0589.66] 我們來一起分析
[0589.66-0590.76] 如同所示
[0590.76-0593.52] 這是CPU的時鐘信號
[0593.52-0596.82] 在下調研出發基存基組的寫入操作
[0596.82-0598.22] 在低電頻期間
[0598.22-0601.32] 讀取基存器組中的基存器的內容
[0601.32-0605.12] 在上調研出發各流水基存器的所存
[0605.12-0607.52] 這樣就可以解決一碼功能段
[0607.52-0610.72] 與寫入功能段的RAW衝突
[0610.72-0612.12] 我們將這條規則
[0612.12-0616.08] 帶入上讀所示的硬件邏輯中進行說明
[0616.08-0619.78] 假設當前處於某個時鐘週期的高電頻期間
[0619.78-0622.28] 指令一位於寫回功能段處理
[0622.28-0624.88] 這是指令一的相關控制信號
[0624.98-0628.27] 一個用於基存器組的寫入使能
[0628.27-0631.17] 另一個用於選擇帶寫入基存器組中
[0631.17-0632.77] 指令基存器的數據
[0632.77-0639.00] 是來自執行功能段的運算結果
[0639.00-0640.10] 再來看這個
[0640.10-0641.30] 在寫回功能段
[0641.30-0644.40] 被傳送回基存器組的數據信號
[0644.40-0647.40] 它是指令一在一碼功能段處理時
[0647.40-0649.00] 從其指令字中取出
[0649.00-0652.60] 並通過一碼功能段後面的各流水基存器所存
[0652.60-0656.90] 逐漸傳遞到寫回功能段的目的基存器的編號
[0656.90-0658.90] 而另一個在寫回功能段
[0658.90-0661.60] 被傳送回基存器組的數據信號
[0661.60-0665.00] 它是指令一在執行功能段處理時得到的
[0665.00-0668.70] 並通過執行功能段後面的各流水基存器所存
[0668.70-0672.30] 逐漸傳送到寫回功能段的運算結果
[0672.30-0675.10] 這樣當時鐘下調延到來時
[0675.10-0676.50] 指令一的運算結果
[0676.50-0678.50] 就會寫入到基存器組中
[0678.50-0680.80] 給另編號的基存器
[0680.80-0683.40] 時鐘下調延之後的低電頻期間
[0683.40-0685.50] 在一碼功能段進行處理的
[0685.50-0688.50] 與指令一存在RAW相關的指令四
[0688.50-0692.10] 從基存器組中讀取相應基存器的內容
[0692.10-0695.30] 這樣就實現了對於同一個基存器
[0695.30-0697.50] 在寫回功能段先寫回
[0697.50-0700.60] 之後在一碼功能段再讀取的操作
[0700.60-0702.50] 竟然解決了一碼功能段
[0702.50-0705.74] 與寫回功能段的RAW衝突
[0705.74-0707.84] 當時鐘上調延到來時
[0707.84-0709.84] 指令流水線中的各條指令
[0709.84-0712.84] 各自進入到下一個相應的功能段
[0712.84-0715.84] 並且會所存各自所需的控制信號
[0715.84-0719.24] 和數據信號到相應的流水基存器中
[0719.24-0722.27] 以便在所進入的功能段中使用
[0722.27-0723.07] 至此
[0723.07-0726.17] 我們通過對CPU使用信號的功能劃分
[0726.17-0727.77] 解決了一碼功能段
[0727.77-0730.87] 與寫入功能段的RAW衝突
[0730.87-0731.67] 接下來
[0731.67-0733.77] 我們來一起分析印象上
[0733.77-0737.67] 如何在存在RAW相關的相應指令之間
[0737.67-0739.07] 插入兩個氣泡
[0739.07-0740.67] 以解決一碼功能段
[0740.67-0741.97] 與執行功能段
[0741.97-0745.27] 以及仿存功能段的RAW衝突
[0745.27-0748.47] 我們還是基於之前的那幅圖進行分析
[0748.47-0750.27] 為了有助於同學們看懂
[0750.27-0752.87] 我們稍後分析出的邏輯表達式
[0752.87-0754.47] 我們將指令流水線中
[0754.47-0757.07] 各功能段畫出不同的背景色
[0757.07-0761.22] 以示區分
[0761.22-0763.72] 首先來看印象上如何檢測
[0763.72-0765.22] 一碼功能段中的指令
[0765.22-0769.12] 與執行功能段中的指令存在RAW相關
[0769.12-0770.62] 一碼功能段中的指令
[0770.62-0774.75] 與仿存功能段中的指令存在RAW相關
[0774.75-0777.75] 將RAW相關檢測邏輯生成的信號
[0777.75-0779.85] 這位RAW Hazard
[0779.85-0783.35] 我們來寫出生成該信號的邏輯表達式
[0783.35-0784.75] 這部分的含義是
[0784.75-0788.45] 處於一碼功能段的指令需要讀RS基存器
[0788.45-0791.25] 並且RS基存器的編號不為零
[0791.25-0794.75] 因為編號為零的基存器是橫零基存器
[0794.75-0797.55] 也就是讀出為零寫入無效
[0797.55-0801.74] 因此不需要考慮零號基存器的RAW相關
[0801.74-0803.34] 這部分的含義是
[0803.34-0805.14] 處於執行功能段的指令
[0805.14-0808.24] 其相應的寫基存器控制信號為1
[0808.24-0813.00] 這意味著該指令最終會對基存器進行寫操作
[0813.00-0814.40] 這部分的含義是
[0814.40-0816.30] 處於執行功能段的指令
[0816.30-0819.30] 其最終寫基存器時使用的編號
[0819.30-0821.30] 與處於一碼功能段的指令
[0821.30-0823.70] 足基存器時使用的編號相同
[0823.70-0826.20] 也就是同一個基存器
[0826.20-0829.80] 當以上三部分全部成立時就表明
[0829.80-0832.60] 檢測到了當前處於一碼功能段的指令
[0832.60-0834.80] 與處於執行功能段的指令
[0834.80-0838.90] 在RS基存器的訪問上存在RAW相關
[0838.90-0840.40] 同理和寫出
[0840.40-0842.90] 檢測當前處於一碼功能段的指令
[0842.90-0845.00] 與處於執行功能段的指令
[0845.00-0850.26] 在RT基存器的訪問上存在RAW相關的邏輯表達式
[0850.26-0851.86] 參照這兩個表達式
[0851.86-0852.96] 分別寫出
[0852.96-0855.66] 檢測當前處於一碼功能段的指令
[0855.66-0857.76] 與處於仿存功能段的指令
[0857.76-0859.36] 在RS基存器
[0859.36-0864.97] RT基存器的訪問上存在RAW相關的邏輯表達式
[0864.97-0866.57] 以上四行表達式
[0866.57-0868.47] 其中任何一行結果唯一
[0868.47-0871.67] 就表明檢測到了RAW相關
[0871.67-0875.17] 因此將這四行表達式進行邏輯獲
[0875.17-0878.53] 即可得到RAW相關的檢測結果
[0878.53-0881.43] 當RAW相關的檢測結果唯一時
[0881.43-0883.43] 就要暫停對當前處於
[0883.43-0884.83] 旗幟功能段的指令
[0884.83-0887.53] 以及處於一碼功能段的指令的處理
[0887.53-0888.73] 並插入氣泡
[0888.73-0891.53] 來防止RAW衝突的產生
[0891.53-0892.83] 插入氣泡的方法
[0892.83-0894.73] 可參考我們上上次課
[0894.73-0896.33] 給同學們介紹過的
[0896.33-0899.43] 解決由分支指令引起的控制衝突時
[0899.43-0901.73] 使用的清空信號Flash
[0901.73-0902.93] 不同的是
[0902.93-0905.23] 當檢測到RAW相關時
[0905.23-0907.03] 僅對一碼功能段後面的
[0907.03-0910.23] 這一個流水基存器進行清空即可
[0910.23-0911.43] 而不需要清空
[0911.43-0914.63] 一碼功能段前面的這個流水基存器
[0914.63-0915.93] 並且還要保證
[0915.93-0918.33] 程序技術器PC的值不變
[0918.33-0919.73] 這樣就暫停了
[0919.73-0921.73] 對處於旗幟功能段的指令
[0921.73-0924.73] 以及處於一碼功能段的指令的處理
[0924.73-0926.03] 要實現這一點
[0926.03-0927.93] 需要控制程序技術器PC
[0927.93-0930.43] 和該流水基存器的使能端
[0930.43-0932.33] 當使能端唯一時
[0932.33-0935.13] PC和該流水基存器正常工作
[0935.13-0936.03] 為零時
[0936.03-0937.43] 忽略使用輸入
[0937.43-0939.43] PC和該流水基存器的值
[0939.43-0940.73] 保持不變
[0940.73-0941.83] 從上所說
[0941.83-0944.93] 就可以得出如下所示的處理邏輯
[0944.93-0946.23] 該處理邏輯
[0946.23-0949.23] 即處理由分支指令引起的控制衝突
[0949.23-0953.23] 也處理由RAW相關引起的RAW衝突
[0953.23-0954.93] 我們來分析一下
[0954.93-0959.13] 將RAW相關檢測結果作為暫停信號STELL
[0959.13-0961.53] 取反後送入PC的使能端
[0961.53-0963.53] 和該流水基存器的使能端
[0963.53-0969.83] 如同所示
[0969.83-0971.53] 若出現分支跳轉
[0971.53-0976.52] 則要清空該流水基存器
[0976.52-0977.92] 若出現分支跳轉
[0977.92-0979.62] 或RAW相關時
[0979.62-0984.68] 需要清空這個流水基存器
[0984.68-0988.58] 這次就可以基於以上得出的邏輯表達式
[0988.58-0991.88] 設計RAW相關處理的組合邏輯電路了
[0991.88-0993.78] 我們就不再繼續介紹了
[0993.78-0996.75] 因為這是數點相關課程的內容
[0996.75-0997.55] 接下來
[0997.55-1001.25] 為了加深同學們對氣泡流水線的理解和記憶
[1001.25-1004.05] 請同學們自行完成該練習
[1004.05-1005.05] 提示一下
[1005.05-1006.05] 一碼公衆段
[1006.05-1008.85] 與寫回公衆段的RAW衝突
[1008.85-1012.75] 以採用對CPU的使用信號的功能劃分解決了
[1012.75-1013.75] 換句話說
[1013.75-1018.24] 一碼公衆段與寫回公衆段不存在RAW相關
[1018.24-1021.94] 而一碼公衆段與執行公衆段的RAW衝突
[1021.94-1025.34] 一碼公衆段與仿存公衆段的RAW衝突
[1025.34-1027.80] 採用插入氣泡解決
[1027.80-1031.80] 以上都是我們本節課給同學們介紹過的內容
[1031.80-1032.50] 好的
[1032.50-1034.90] 請同學們暫停播放視頻
[1034.90-1041.52] 務必動手練習一下
[1041.52-1042.32] 好的
[1042.32-1045.82] 接下來我們給出該題的動畫解題過程
[1045.82-1047.72] 相信同學們都能看懂
[1047.72-1090.36] 就不再進行口頭講解了
[1090.36-1091.06] 好的
[1091.06-1093.16] 本節課到這裡就結束了
[1093.16-1108.97] 請同學們快速回憶一下本節課的主要內容
[1108.97-1109.77] 同學們
[1109.77-1110.97] 我們下節課見
