[0003.18-0007.48] 同学们好,欢迎大家来到我的计算机组成员里维克唐。
[0323.42-0327.04] 逻辑0在电路中用低电平来表示,
[0327.04-0330.86] 例如500毫V到1.8V。
[0330.86-0331.86] 另外,
[0331.86-0335.86] 同学们还应该知道,信号从输入到逻辑门开始,
[0335.86-0338.36] 到逻辑门输出结果为止,
[0338.36-0339.86] 是要耗费时间的,
[0339.86-0342.36] 称为逻辑门的传播延迟,
[0342.36-0344.36] 简称为门级延迟,
[0344.36-0346.40] 一般为纳秒级。
[0346.40-0347.99] 例如,
[0347.99-0349.49] 工作电压为6V,
[0349.49-0352.49] 线路的负载电容为50匹法的情况下,
[0352.49-0354.99] 最大门级延迟为15纳秒。
[0354.99-0357.44] 上述电器特性,
[0357.44-0359.94] 可参看具体芯片的数据手册。
[0359.94-0360.94] 例如,
[0360.94-0362.94] 这是7408芯片,
[0362.94-0365.44] 其内部包含有4个语门,
[0365.44-0368.44] 这是其内部各语门的输入输出端,
[0368.44-0371.44] 与芯片外部引脚的对应关系。
[0371.54-0373.04] 需要说明的是,
[0373.04-0376.54] 生产7次系列芯片的厂家不止一家,
[0376.54-0379.04] 电器特性可能有所不同。
[0379.04-0384.04] 大家可以根据各厂家提供的芯片数据手册进行选行。
[0384.04-0387.48] 再来看货运算和货门。
[0387.48-0389.61] 首先来看这幅图,
[0389.61-0391.11] A和B都等于0,
[0391.11-0392.61] 则F等于0,
[0392.61-0396.11] 也就是开关A和B都处于撞开状态时,
[0396.11-0398.61] 灯泡F处于熄灭状态。
[0398.61-0400.77] 再来看这幅图,
[0400.77-0401.77] A等于0,
[0401.77-0402.77] B等于1,
[0402.77-0404.77] 则F等于1,
[0404.77-0407.27] 也就是开关A处于撞开状态,
[0407.27-0409.77] 开关B处于闭口状态时,
[0409.77-0412.77] 灯泡F处于点亮状态。
[0412.77-0415.09] 再来看这幅图,
[0415.09-0416.09] A等于1,
[0416.09-0417.09] B等于0,
[0417.09-0418.59] 则F等于1,
[0418.59-0421.09] 也就是开关A处于B和状态,
[0421.09-0423.59] 开关B处于撞开状态时,
[0423.59-0426.98] 灯泡F处于点亮状态。
[0426.98-0428.48] 再来看这幅图,
[0428.48-0430.48] A和B都等于1,
[0430.48-0431.98] 则F等于1,
[0431.98-0435.48] 也就是开关A和B都处于撞开状态时,
[0435.48-0437.98] 灯泡F处于点亮状态。
[0437.98-0440.23] 我们将作为输入的
[0440.23-0441.73] 开关A和B的状态,
[0441.73-0443.23] 与作为输出的
[0443.23-0445.23] 灯泡F的状态之间的关系,
[0445.23-0447.23] 总结到真知表中,
[0447.99-0451.00] 这是从该图得到的关系,
[0451.00-0453.98] 这是从该图得到的关系,
[0453.98-0456.96] 这是从该图得到的关系,
[0456.96-0459.46] 这是从该图得到的关系,
[0459.46-0461.97] 根据真知表的内容,
[0461.97-0462.97] 我们可以写出
[0462.97-0464.97] 获运算的逻辑表达式,
[0464.97-0468.07] 借F等于A获上B,
[0468.07-0470.07] 从真知表不能看出,
[0470.07-0471.57] 对于获运算,
[0471.57-0473.57] 只要输入有一个为真实,
[0473.57-0475.60] 输出就为真。
[0475.60-0477.60] 不知同学们能否取出一个
[0477.60-0478.60] 我们日常生活中的
[0478.60-0482.33] 获运算的例子?
[0482.33-0483.33] 在同学们掌握了
[0483.33-0485.33] 什么是获运算号,
[0485.33-0486.33] 我们介绍获运算的
[0486.33-0487.33] 电路实现,
[0487.33-0489.33] 也就是货门,
[0489.33-0490.36] 这是让货门的
[0490.36-0492.46] 常用国际符号,
[0492.46-0494.46] A和B作为输入,
[0494.46-0495.46] F作为输出,
[0495.46-0497.49] 逻辑货的英文为
[0497.49-0498.52] O,
[0498.52-0500.52] 这是7次3二芯片,
[0500.52-0501.52] 以及其内部
[0501.52-0502.52] 四个货门的
[0502.52-0503.52] 实物输出端,
[0503.52-0504.52] 与芯片外部引脚的
[0504.52-0506.84] 对影关系,
[0506.84-0508.84] 再来看非运算和非门,
[0508.84-0510.90] 首先来看这幅图,
[0510.90-0512.90] A等于0则F等于1,
[0512.90-0514.90] 也就是开关A
[0514.90-0516.90] 处于断开状态时,
[0516.90-0519.00] 灯泡F处于点亮状态,
[0519.00-0521.00] 再来看这幅图,
[0521.00-0523.00] A等于1则F等于0,
[0523.00-0525.00] 也就是开关A
[0525.00-0527.00] 处于闭合状态时,
[0527.00-0529.19] 灯泡F处于熄灭状态,
[0529.19-0531.19] 我们将作为输入的
[0531.19-0532.19] 开关A的状态,
[0532.19-0533.19] 与作为输出的
[0533.19-0535.19] 灯泡F的状态之间的关系
[0535.19-0537.19] 总结到真之表中,
[0537.19-0539.45] 这是从该图得到的关系,
[0539.45-0542.80] 这是从该图得到的关系,
[0542.80-0545.18] 根据真之表的内容,
[0545.18-0546.18] 我们可以写出
[0546.18-0548.18] 非运算的逻辑表达式,
[0548.18-0550.70] 从真之表不能看出,
[0550.70-0552.70] 对于非运算,
[0552.70-0553.70] 仅有一个输入,
[0553.70-0555.70] 当输入为假实,
[0555.70-0556.70] 输出为真,
[0556.70-0557.98] 不知同学们
[0557.98-0558.98] 能否举出一个
[0558.98-0560.98] 我们日常生活中的
[0560.98-0561.98] 非运算的例子,
[0561.98-0563.94] 在同学们掌握了
[0563.94-0565.94] 什么是非运算号,
[0565.94-0566.94] 我们介绍
[0566.94-0568.94] 非运算的电路实现,
[0568.94-0569.94] 这就是非门,
[0569.94-0572.94] 这是非门的常用国际符号,
[0572.94-0573.94] A作为输入,
[0573.94-0575.94] F作为输出,
[0575.94-0577.94] 逻辑非的英文为not,
[0577.94-0579.98] 这是7404芯片,
[0579.98-0580.98] 以及其内部
[0580.98-0582.98] 6个非门的输入输出端,
[0582.98-0585.98] 与芯片外部引脚的对应关系,
[0585.98-0587.46] 在同学们掌握了
[0587.46-0588.46] 基本逻辑运算
[0588.46-0590.46] 与基本逻辑门号,
[0590.46-0591.46] 我们介绍
[0591.46-0594.46] 复合逻辑运算与复合逻辑门,
[0594.46-0595.49] 首先介绍
[0595.49-0597.49] 与非运算和与非门,
[0597.49-0599.55] 这是我们之前
[0599.55-0600.55] 刚刚介绍过的
[0600.55-0602.55] 两种基本逻辑运算,
[0602.55-0604.55] 即与运算和非运算,
[0604.55-0606.68] 顾名思义,
[0606.68-0607.68] 与非运算就是由
[0607.68-0609.68] 与运算和非运算
[0609.68-0610.68] 复合而来的,
[0610.68-0614.03] 这是与非运算的逻辑表达式,
[0614.96-0618.89] 这是与非运算的真之表,
[0618.89-0620.89] 这是实现与非运算的
[0620.89-0622.89] 与非门的常用国际符号,
[0622.89-0625.89] 它与与门的符号非常相似,
[0625.89-0626.89] 只是在输出端之前
[0626.89-0628.89] 多了一个小圆圈,
[0628.89-0629.89] 表示逻辑非,
[0629.89-0631.89] 或者说取反,
[0631.89-0633.18] 接下来,
[0633.18-0635.18] 对于与非运算和与非门,
[0635.18-0637.18] 我们还需要进一步介绍,
[0637.18-0640.21] 通过与非运算的逻辑表达式,
[0640.21-0642.21] 我们可以画出由一个与门
[0642.21-0644.21] 和一个非门构成的
[0644.21-0647.43] 实现与非运算的逻辑电路,
[0647.43-0649.43] 与非运算的逻辑表达式
[0649.43-0651.43] 可变形为这种形式,
[0651.43-0653.43] 这称为反眼率,
[0653.43-0655.56] 对于跨专业的同学,
[0655.56-0657.56] 可能并不知道,
[0657.56-0659.56] 没有关系,
[0659.56-0661.56] 认可即可,
[0661.56-0663.56] 不相信的同学,
[0663.56-0666.01] 也可将与非运算
[0666.01-0668.01] 针值表中的值,
[0668.01-0670.01] 带入验证,
[0670.01-0672.01] 根据该式,
[0672.01-0674.39] 我们可以画出有两个非门
[0674.39-0676.39] 和一个货门构成的,
[0676.39-0678.39] 实现与非运算的逻辑电路,
[0678.39-0680.62] 以上这两个逻辑电路,
[0680.62-0682.62] 相当于由基本逻辑门
[0682.62-0684.94] 来构建复合逻辑门,
[0684.94-0686.94] 那么反过来是否可行呢?
[0686.94-0690.50] 回答是肯定的,
[0690.50-0692.50] 我们来一起分析一下,
[0692.50-0694.54] 这是与非运算的逻辑表达式,
[0694.54-0696.54] 和与非门,
[0696.54-0698.70] 我们将与非运算的
[0698.70-0700.70] 其中一个输入B,
[0700.70-0702.70] T换成输入A,
[0702.70-0705.11] 如下所示,
[0705.11-0707.11] 然后再根据重叠率,
[0707.11-0709.11] 转换成如下的逻辑表达式,
[0709.11-0711.37] 不难看出,
[0711.37-0713.37] 该表达式,
[0713.37-0715.37] 就是非运算的逻辑表达式,
[0715.37-0717.62] 也就是将与非门的两个输入端,
[0717.62-0719.62] 作为同一个输入端,
[0719.62-0721.85] 这样,
[0721.85-0723.85] 我们就利用与非门,
[0723.85-0726.26] 实现了非门,
[0726.26-0728.26] 按照上面的思路,
[0728.26-0730.26] 请同学们思考一下,
[0730.26-0732.26] 仅用与非门,
[0732.26-0735.51] 来构建与门,是否可行呢?
[0735.51-0737.51] 回答是肯定的,
[0737.51-0739.51] 我们来一起分析一下,
[0739.51-0741.51] 我们将一个与非门的输出,
[0741.51-0743.51] 连接到另一个与非门的两个输入端,
[0743.51-0745.51] 这相当于,
[0745.51-0747.51] 将左侧这个与非门的输出,
[0747.51-0749.51] 一个非门,
[0749.51-0751.51] 也就是将与非运算后的结果,
[0751.51-0753.51] 再进行非运算,
[0753.51-0755.51] 则左侧与非门的输入,
[0755.51-0757.51] 与右侧与非门的输出,
[0757.51-0759.54] 就构成了逻辑与的关系,
[0759.54-0761.54] 我们将逻辑表达式的这种转换,
[0761.54-0763.83] 称为还原率,
[0763.83-0765.83] 相信很多同学已经猜到了,
[0765.83-0767.83] 我们还可以利用与非门,
[0767.83-0770.02] 来实现货门,
[0770.02-0772.02] 对于上面这个逻辑表达式,
[0772.02-0774.02] 我们一次使用了,
[0774.02-0776.31] 反眼率和还原率,
[0776.31-0778.31] 在上所说,
[0778.31-0780.31] 我们仅用负荷逻辑门中的与非门,
[0780.31-0782.31] 就可以构建出,
[0782.31-0784.31] 任何一种基本逻辑门,
[0784.31-0786.31] 即与门,货门,
[0786.31-0788.47] 非门,
[0788.47-0790.47] 因此仅使用与非门,
[0790.47-0792.47] 就可以构建出,
[0792.47-0794.47] 任何组合逻辑电路,
[0794.47-0796.47] 也就是仅包含门电路,
[0796.47-0798.47] 而不包含技存器,
[0798.47-0800.82] 触发器等元件的,
[0800.82-0802.82] 数字逻辑电路,
[0802.82-0804.82] 这是7400芯片,
[0804.82-0807.82] 数端与芯片外部引脚的对应关系,
[0807.82-0811.43] 再来看货非运算和货非门,
[0811.43-0813.53] 在同学们刚刚学习了,
[0813.53-0816.53] 与非运算和与非门的基础上,
[0816.53-0818.53] 相信大家能够猜到,
[0818.53-0821.53] 货非运算就是由货运算和非运算,
[0821.53-0823.69] 复合而来的,
[0823.69-0825.69] 这是货非运算的表达式,
[0825.69-0830.13] 这是货非运算的帧值表,
[0830.13-0833.25] 这是实现货非运算的,
[0833.25-0836.25] 货非门的常用国际符号,
[0836.25-0839.38] 它与货门的符号非常相似,
[0839.38-0842.38] 只是在输出单之前多了一个小圆圈,
[0842.38-0845.38] 表示逻辑非,或者说取反,
[0845.38-0847.60] 请同学们思考一下,
[0847.60-0849.60] 是否可以仅用货非门,
[0849.60-0852.60] 来构建与门货门非门呢?
[0852.60-0856.38] 实际上,
[0856.38-0858.38] 同与非门一样,
[0858.38-0860.38] 仅使用货非门,
[0860.38-0862.38] 也可以构建非门、货门与门,
[0862.38-0865.38] 甚至可以构建任何组合逻辑电路,
[0865.38-0867.38] 有兴趣的同学,
[0867.38-0869.38] 可自行用货非门,
[0869.38-0871.38] 构建非门、货门与门,
[0871.38-0873.61] 我们就不再坠述了,
[0873.61-0875.61] 这是7402芯片,
[0875.61-0878.61] 以及其内部四个货非门的输入输出端,
[0878.61-0881.61] 与芯片外部引脚的对应关系,
[0881.61-0885.02] 再来看异货运算和异货门,
[0885.02-0887.18] 异货运算的逻辑是,
[0887.18-0889.18] 两个输入只要不同,
[0889.18-0890.18] 输出即为真,
[0890.18-0892.34] 根据上述逻辑,
[0892.34-0895.50] 我们可以写出异货运算的真值表,
[0895.50-0898.50] 当两个输入同为0或1时,
[0898.50-0899.50] 输出为0,
[0899.50-0902.18] 当两个输入不同时,
[0902.18-0905.78] 输出为1,
[0905.78-0907.78] 这是异货运算的逻辑表达式,
[0907.78-0911.80] 这是实现异货运算的异货门的
[0911.80-0913.80] 常用国际符号,
[0913.80-0917.02] 我们写出真值表中,
[0917.02-0919.02] 两个输出为真的情况,
[0919.02-0922.08] 一个是H0且B取1,
[0922.08-0925.30] 另一个是H1且B取0,
[0925.30-0926.30] 这样,
[0926.30-0928.30] 我们可将异货运算的逻辑表达式,
[0928.30-0932.72] 写成上述两种情况的逻辑货,
[0932.72-0934.72] 根据该逻辑表达式,
[0934.72-0936.72] 我们可以画出利用两个飞门,
[0936.72-0938.72] 两个雨门,
[0938.72-0939.72] 一个货门,
[0939.72-0942.72] 构建出的实现异货运算的逻辑电路,
[0942.72-0944.82] 我们用不同颜色,
[0944.82-0947.82] 将逻辑表达式中不同的运算幅,
[0947.82-0950.82] 与逻辑电路中相应的逻辑门对应起来,
[0950.82-0952.82] 以帮助同学们理解。
[0952.82-0955.90] 接下来,
[0955.90-0957.90] 我们将真值表中H0,
[0957.90-0958.90] B取1的情况,
[0958.90-0960.90] 带入该逻辑电路,
[0960.90-0961.90] 验证一下,
[0961.90-0964.90] 看输出结果是否是1。
[0964.90-0975.37] 接下来,
[0975.37-0977.37] 请同学们思考一下,
[0977.37-0979.37] 如何仅用雨飞门,
[0979.37-0981.37] 来构建异货门呢?
[0981.37-0986.78] 这需要同学们熟练掌握逻辑代数的运算规则,
[0986.78-0989.78] 包括公理,定理和定律,
[0989.78-0992.78] 对上述逻辑表达式进行变换,
[0992.78-0995.78] 目标就是最终得到的逻辑表达式中,
[0996.78-0998.78] 仅包含雨飞运算。
[0998.78-1000.00] 这样,
[1000.00-1003.00] 根据最终得到的这个逻辑表达式,
[1003.00-1005.00] 即可化出仅使用雨飞门,
[1005.00-1008.00] 来实现异货门的逻辑电路。
[1008.00-1011.38] 我们在计算机网络这门课程中,
[1011.38-1014.38] 曾给同学们介绍过循环熔域教研CLC,
[1014.38-1016.48] 在发送端,
[1016.48-1018.48] 利用二进制模二处法,
[1018.48-1020.48] 计算熔于码时,
[1020.48-1024.30] 就需要用到异货运算。
[1024.30-1026.30] 这是7486芯片,
[1026.30-1029.30] 及其内部四个异货门的输入输出端,
[1029.30-1032.82] 与芯片外部引脚的对应关系。
[1032.82-1033.82] 最后来看,
[1033.82-1035.82] 存货运算和存货门,
[1035.82-1039.94] 这是我们刚刚介绍的异货运算的逻辑表达式,
[1039.94-1040.94] 针直表,
[1040.94-1042.94] 国际常用符号,
[1042.94-1045.10] 从名字上就可以看出,
[1045.10-1049.30] 存货运算正好与异货运算相反,
[1049.30-1052.42] 这是存货运算的逻辑表达式,
[1052.42-1054.42] 我们还可以将其改写为,
[1054.42-1056.42] 将异货运算的结果取反,
[1056.42-1061.15] 这是存货运算的针直表,
[1061.15-1064.15] 这是存货运算的国际常用符号,
[1064.15-1068.14] 这是CD4077芯片,
[1068.14-1072.14] 以及其内部四个异货门的输入输出端,
[1072.14-1076.62] 与芯片外部引脚的对应关系。
[1076.62-1079.62] 好的,本节课到这里就结束了。
[1079.62-1082.62] 我们将本节课的内容小结如下。
[1082.62-1089.74] 同学们,我们下节课见!
