[0003.41-0007.73] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0388.74-0393.84] 之后,CPU的读写控制引脚RW输出D电瓶。
[0393.84-0398.64] 各存储芯片的写使能引脚WE,收到该D电瓶。
[0398.64-0405.46] 由于各存储芯片此时都未必选中工作,因此不会理会该信号。
[0405.46-0411.72] 之后,CPU的存储器请求控制引脚MREQ输出D电瓶。
[0411.72-0419.72] 381码器的输出使能引脚OE,收到该D电瓶时,将三位一码输入,一码程八位一码输出。
[0419.72-0424.75] 具体为外期输出有效信号,也就是D电瓶。
[0424.75-0429.75] 而外零到外六仍保持输出无效信号,也就是高电瓶。
[0429.75-0439.01] 这样,8片存储芯片中,只有片写引脚CS收到有效电瓶的该存储芯片被选中工作。
[0439.01-0448.01] 而该存储芯片通过自身18个地址引脚收到的18位地址所对应的存储芯片内部的那个存储单元被选中。
[0448.01-0458.55] 由于此时该存储芯片的写使能引脚WE上的信号,是之前由CPU的读写控制引脚RW输出的D电瓶。
[0458.55-0466.55] 因此,该存储芯片通过自身的8位数据总线,从CPU的8位数据总线获取到8位数据,
[0466.55-0469.55] 并写入所选中的存储单元。
[0469.55-0477.26] 接下来,我们基于本例,进一步分析一下自扩展中有关寻纸的问题。
[0477.26-0487.35] 这是本例中,CPU的21条地址线,用于输出21个比特的地址信息,或者说21位二净值地址信息。
[0488.48-0500.48] 因此,寻纸空间如下所示,从21位零到21位一,共有2-21字方,等于2兆个组合,兆等于2-20字方。
[0500.48-0515.58] 换句话说,寻纸空间的大小为2兆,21位地址信息的高三位,用来区分个存储芯片,可以理解成,用三位二净值数给个存储芯片进行编号。
[0515.58-0521.58] 从3个零到3个一,共8个编号,分别作为8个存储芯片的编号。
[0521.58-0528.86] 而21位地址信息的第18位,用于个存储芯片区分自身内部的存储单元。
[0528.86-0538.02] 这部分地址空间中的地址,他们的高三位为零零零,都相同,表明他们属于同一个存储芯片。
[0538.02-0550.02] 而第18位,从18位零到18位一,共有2的18字方,等于256k个组合,作为该存储芯片内部各存储单元的地址。
[0550.02-0558.25] 根据各存储芯片与CPU的连接情况,这部分地址空间,我们实际上分配给了该存储芯片。
[0558.25-0564.34] 以此来推,这部分地址空间,我们分配给了这个存储芯片。
[0564.34-0569.41] 21位地址的高三位为零零一,作为该存储芯片的编号。
[0569.41-0574.41] 而第18位,作为该存储芯片内部各存储单元的地址。
[0574.41-0581.70] 同理,最后这部分地址空间,我们分配给了8个存储芯片中的最后这个存储芯片。
[0581.70-0587.82] 21位地址的高三位为111,作为该存储芯片的编号。
[0587.82-0593.14] 而第18位,作为该存储芯片内部各存储单元的地址。
[0593.14-0598.21] 这次,学习过计算机网络课程的同学,可能已经发现了。
[0598.21-0604.21] 上述自扩展中有关群职的问题,也就是地址空间分配问题。
[0604.21-0609.34] 与IPV4划分子网中的地址分配问题是多么的相似。
[0609.34-0613.34] 将这里的8个存储芯片,看作是8个子网。
[0613.34-0619.34] 每个存储芯片内部包含的存储单元,看成主机接口或路由器接口。
[0619.34-0624.34] 问题就转换成了IPV4划分子网中的地址分配问题。
[0624.34-0631.78] 只不过,IPV4地址是32位的,本力中组存的地址是21位的。
[0631.78-0635.78] 最后,通过本力,我们对自扩展方法进行小节。
[0635.78-0641.82] 将所有存储芯片的数据引脚、地址引脚、鞋齿能引脚、W1,
[0641.82-0648.82] 各自并联号在分别与CPU的数据引脚、地址引脚、独切控制引脚、RW连接。
[0648.82-0657.01] 各存储芯片的片血引脚CS,可以由CPU多余的地址引脚通过异码器产生。
[0657.01-0663.36] 综上所说,自扩展又称为容量扩展或地址总线扩展。
[0663.36-0671.36] 需要说明的是,实际的异码器芯片具有更多的使能引脚,一边更灵活的应用。
[0671.36-0677.36] 而本节课,为了简单起见,我们仅仅使用了38异码器的基本逻辑功能。
[0677.36-0680.36] 屏蔽掉了一些我们未用到的引脚。
[0680.36-0683.65] 好的,本节课到这里就结束了。
[0683.65-0686.65] 同学们,我们下节课见!
