[0003.73-0007.83] 同學們好,歡迎大家來到我的計算機總生眼裡威克堂
[0174.90-0178.80] 就可以依次進入總線傳輸過程的剩餘三個階段
[0178.80-0182.66] 也就是巡職階段、傳輸階段、結束階段
[0182.66-0186.16] 通過以上介紹,相信同學們不能得出
[0186.16-0189.16] 分布式仲裁的自己分散方式的優缺點
[0189.16-0192.06] 優點是仲裁邏輯非常簡單
[0192.06-0196.36] 缺點是需要的總線請求和仲裁信號線講多
[0196.36-0199.06] 這一點在我們稍後給同學們介紹完
[0199.06-0201.56] 分布式仲裁的病情競爭方式號
[0201.56-0204.36] 同學們通過對比就會更有體會
[0204.36-0205.86] 需要說明的是
[0205.86-0210.06] 在實際應用中,可以使用數據總線作為總線請求
[0210.06-0213.36] 和仲裁信號線,例如SCAS總線
[0213.36-0217.76] 這則總線目前已不再是個人電腦和消費級市場的主流
[0217.76-0221.56] 但在企業級高性能存儲和特定專業領域中
[0221.56-0224.02] 依然扮演著重要角色
[0224.02-0227.22] 再來看分布式仲裁的病情競爭方式
[0227.22-0229.92] 為了與自己分散方式進行對比
[0229.92-0233.32] 我們仍以系統總線上連接四個主設備為例
[0233.32-0236.12] 分布式仲裁的病情競爭方式
[0236.12-0239.42] 取消了各主設備專用的總線請求信號線
[0239.42-0241.12] 主要是用編碼的方法
[0241.12-0243.32] 來表示主設備的仲裁號
[0243.32-0245.82] 仲裁號越大,優先級越高
[0245.82-0249.22] 例如,這是圖州各主設備的仲裁號
[0249.22-0252.12] 由於仲裁號越大,優先級越高
[0252.12-0255.62] 因此,可以得出本地州各主設備的優先級
[0255.62-0258.72] 由於本地中的仲裁號有四位構成
[0258.82-0261.92] 因此,需要使用四條仲裁位線
[0261.92-0265.32] 當某個主設備需要請求總線控制權時
[0265.32-0267.02] 就將自己的仲裁號
[0267.02-0271.02] 通過現貨的方式發送到共享的仲裁位線上
[0271.02-0272.72] 另外,還需要一條
[0272.72-0276.22] 用於表示正在進行總線仲裁的信號線
[0276.22-0279.62] 當某個主設備需要請求總線控制權時
[0279.62-0283.72] 也通過現貨的方式發送信號到該信號線上
[0283.72-0285.22] 在同學們了解了
[0285.22-0287.52] 分布式仲裁的病情競爭方式
[0287.52-0289.62] 所需的相關控制信號號
[0289.62-0293.01] 我們舉例說明病情競爭方式的基本原例
[0293.01-0294.91] 假設要總線控制權時
[0294.91-0296.81] 主設備一和主設備二
[0296.81-0299.43] 同時申請總線控制權
[0299.43-0301.43] 主設備一和主設備二
[0301.43-0304.23] 各自發送請求總線控制權的信號
[0304.23-0305.83] 之前我們介紹過
[0305.83-0307.83] 採用的是現貨的方式
[0307.83-0311.93] 因此,表示存在總線仲裁的這條信號線上的信號
[0311.93-0314.73] 當前為一貨一,結果為一
[0314.73-0317.43] 這裡的貨是指邏輯貨運算
[0317.63-0319.33] 主設備一和主設備二
[0319.33-0321.23] 將各自仲裁號的各位
[0321.23-0325.36] 也以現貨方式發送到對應的仲裁衛線上
[0325.36-0327.06] 仲裁衛線AN3
[0327.06-0330.76] 也就是最高有效位MSB這條線上的信號
[0330.76-0333.56] 當前為一貨一,結果為一
[0333.56-0335.56] 仲裁衛線AN2上的信號
[0335.56-0338.26] 當前為零貨一,結果為一
[0338.26-0340.26] 仲裁衛線AN1上的信號
[0340.26-0342.76] 當前為一貨零,結果為一
[0342.76-0344.26] 仲裁衛線AN0
[0344.26-0346.56] 也就是最低有效位LSB
[0346.56-0347.76] 這條線上的信號
[0347.76-0350.88] 當前為零貨零,結果為零
[0350.88-0352.68] 主設備一和主設備二
[0352.68-0355.38] 會將4條仲裁衛線上得到的結果
[0355.38-0356.98] 與各自的仲裁號
[0356.98-0360.38] 從高位到低位進行主位比較
[0360.38-0363.58] 最高位相同,繼續比較下一位
[0363.58-0365.48] 主設備一的仲裁號的該位
[0365.48-0367.98] 小於相應仲裁衛線的結果
[0367.98-0370.61] 主設備一退出總線競爭
[0370.61-0372.41] 主設備二的仲裁號的該位
[0372.41-0374.61] 等於相應仲裁衛線的結果
[0374.61-0375.41] 主設備二
[0375.51-0378.11] 還需要繼續比較後續位
[0378.11-0380.71] 由於主設備一退出總線競爭
[0380.71-0382.61] 因此,主設備一取消期
[0382.61-0385.01] 發送到仲裁衛線上的仲裁號
[0385.01-0387.51] 以及請求總線控制權的信號
[0387.51-0390.51] 此時,4條仲裁衛線上得到的結果
[0390.51-0392.27] 會產生變化
[0392.27-0393.97] 仲裁衛線AN3上
[0393.97-0395.97] 信號的現貨結果為一
[0395.97-0397.57] 仲裁衛線AN2上
[0397.57-0399.37] 信號的現貨結果為一
[0399.37-0401.07] 仲裁衛線AN1上
[0401.07-0402.77] 信號的現貨結果為零
[0402.77-0404.37] 仲裁衛線AN0上
[0404.37-0406.27] 信號的現貨結果為零
[0406.27-0408.57] 主設備二將自己的仲裁號
[0408.57-0411.07] 與4條仲裁衛線上得到的結果
[0411.07-0414.27] 從當前為了下一位繼續進行比較
[0414.27-0415.57] 該位相同
[0415.57-0417.17] 繼續比較下一位
[0417.17-0418.64] 也相同
[0418.64-0420.84] 至此,主設備二的仲裁號
[0420.84-0423.74] 與4條仲裁衛線上得到的結果相同
[0423.74-0426.54] 主設備二獲得總線控制權
[0426.54-0429.64] 主設備二的總線傳輸過程的申請階段完成
[0429.64-0434.20] 可依次進入群職階段、傳輸階段、結束階段
[0434.20-0436.50] 在同學們理解了分布式仲裁的
[0436.50-0438.90] 病情競爭方式的基本原理號
[0438.90-0441.60] 我們就可以將其與分布式仲裁的
[0441.60-0444.00] 自舉分散方式進行對比
[0444.00-0445.80] 對於自舉分散方式
[0445.80-0447.10] N條仲裁線
[0447.10-0449.00] 只能表示N個優先級
[0449.00-0451.60] 對N個設備進行仲裁
[0451.60-0453.40] 而病情競爭方式
[0453.40-0454.70] N條仲裁線
[0454.70-0457.20] 可以表示二的N次方個仲裁號
[0457.20-0460.00] 對二的N次方個設備進行仲裁
[0460.00-0461.60] 需要說明的是
[0461.60-0463.20] 上圖所示的例子
[0463.20-0464.80] 採用四條仲裁線
[0464.80-0468.10] 可以表示二的四次方等於16個仲裁號
[0468.10-0470.20] 對16個設備進行仲裁
[0470.20-0471.70] 但為了簡單起見
[0471.70-0475.88] 我們僅劃出了連接在總線上的四個設備
[0475.88-0476.48] 另外
[0476.48-0477.78] 索士巴斯總線中
[0477.78-0480.58] 就採用了病情競爭仲裁方式
[0480.58-0482.98] 該總線是20世紀八十年的幕
[0482.98-0486.98] 至90年代初制定的一種高性能背板總線架構
[0486.98-0490.78] 在當時只在為多處理器系統提供高貸寬
[0490.78-0492.38] 低延遲的通信
[0492.38-0495.98] 然而 該標準過於複雜 實現成本高昂
[0495.98-0497.98] 且其制定周期繳長
[0497.98-0499.58] 在它成熟之前
[0499.58-0501.98] 更使用更經濟的替代技術
[0501.98-0504.98] 例如 PCI 以及後來的 PCIe
[0504.98-0506.78] 迅速成為市場主流
[0506.78-0508.78] 並最終將其取代
[0508.78-0509.58] 因此
[0509.58-0511.58] 索士巴斯並未在商業市場上
[0511.58-0513.78] 得到大規模普及和應用
[0513.78-0516.00] 現已基本被淘汰
[0516.00-0519.73] 再來看分布式仲裁的衝突檢測分散方式
[0519.73-0522.53] 如果同學們學習過計算機網路課程
[0522.63-0524.23] 很可能在該課程中
[0524.23-0527.33] 已經學習過衝突檢測分散方式
[0527.33-0530.43] 也就是傳統以太王採用的載波監聽
[0530.43-0532.53] 多指接入衝突檢測協議
[0532.53-0534.43] CSMA-CD
[0534.43-0535.63] 有需要的同學
[0535.63-0538.52] 可掃碼觀看這部分內容
[0538.52-0539.22] 好的
[0539.22-0541.52] 本節課到這裡就結束了
[0541.52-0543.52] 請同學們快速回憶一下
[0543.52-0557.08] 本節課的主要內容
[0557.08-0557.68] 同學們
[0557.68-0558.88] 我們下節課見
