[0003.28-0007.28] 同學們好,歡迎大家來到我的計算級組成園裡威克堂
[0209.55-0214.35] 時鐘信號的第四個時鐘週期結束後,整個總線傳輸過程結束
[0214.35-0219.30] 通過以上兩個例子,我們可以總結出同步通信的優缺點
[0219.30-0224.70] 優點有,時間規定明確,統一,設備間的配合簡單一致
[0224.70-0228.90] 缺點有,主設備與從設備間的時間配合嚴格同步
[0228.90-0231.70] 必須在限定時間內完成規定操作
[0231.70-0235.90] 因此,同步時鐘頻率取決於總線上最慢的設備
[0235.90-0238.30] 對於各種不同速度的從設備
[0238.30-0242.10] 必須按最慢速度的從設備來設計公共時鐘
[0242.10-0244.70] 嚴重影響總線的工作效率
[0244.70-0248.70] 同步通信一般適用於總線長度短,設備速度相近
[0248.70-0250.50] 傳輸可靠性高的場景
[0250.50-0253.90] 例如,直接與CPU相連的系統總線
[0254.10-0257.30] 在同學們對於基於同步總線的同步通信
[0257.30-0258.70] 有了進一步了解後
[0258.70-0262.50] 我們對基於一步總線的一步通信做進一步介紹
[0262.50-0264.10] 對於一步通信
[0264.10-0267.50] 說話雙方不使用公共時鐘信號進行控制
[0267.50-0270.90] 而是靠說話雙方之間的握手信號來協調
[0270.90-0274.90] 例如,途中所示的請求信號線和確認信號線
[0274.90-0277.10] 就是用來傳送握手信號的
[0277.10-0281.50] 按照請求信號與確認信號的撤銷是否相互依賴
[0281.50-0286.70] 一步通信可分為非戶鎖、半戶鎖以及全戶鎖三種方式
[0286.70-0289.75] 我們首先來看非戶鎖方式
[0289.75-0292.75] 主設備給從設備發送請求信號後
[0292.75-0294.75] 自動撤銷請求信號
[0294.75-0297.75] 從設備收到請求信號後進行響應
[0297.75-0301.55] 並在完成請求後給主設備發送確認信號
[0301.55-0304.75] 之後從設備自動撤銷請求信號
[0304.75-0307.75] 從上所述,對於非戶鎖方式
[0307.75-0311.35] 請求信號的撤銷與確認信號的撤銷都是自動的
[0311.35-0313.35] 他們之間沒有依賴關係
[0313.35-0316.75] 為了進一步幫助同學們理解非戶鎖方式
[0316.75-0320.75] 我們將之前的動畫演示化成簡單的實習圖
[0320.75-0323.95] 在該時刻,主設備建立請求信號
[0323.95-0327.55] 而在之後的該時刻,從設備建立確認信號
[0327.55-0331.55] 很顯然,確認信號的建立依賴於請求信號的建立
[0331.55-0333.15] 這很容易理解
[0333.15-0334.95] 主設備建立請求信號
[0334.95-0338.55] 冰箱旗維持一段時間後,就自動將其撤銷
[0338.75-0341.15] 同樣,從設備建立應達信號
[0341.15-0344.75] 並將其維持一段時間後,就自動將其撤銷
[0344.75-0347.15] 也就是說,請求信號的撤銷
[0347.15-0349.75] 與確認信號的撤銷都是自動的
[0349.75-0351.55] 他們之間沒有依賴關係
[0351.55-0354.15] 這就是所謂的非戶鎖方式
[0354.15-0356.35] 可能有些同學已經發現了
[0356.35-0359.15] 非戶鎖方式存在可靠性問題
[0359.15-0362.95] 那就是,從設備可能沒有收到主設備的請求
[0362.95-0365.15] 但主設備並不關心
[0365.15-0367.95] 而主設備可能沒有收到從設備的確認
[0368.15-0370.82] 但從設備也並不關心
[0370.82-0375.17] 我們將該持續途中的這一個依賴,看作一次握手
[0375.17-0377.69] 再來看半戶鎖方式
[0377.69-0380.49] 主設備給從設備發送請求信號
[0380.49-0383.49] 從設備收到請求信號後,進行響應
[0383.49-0387.49] 並在完成請求後,給主設備發送確認信號
[0387.49-0391.89] 主設備收到確認信號後,才能撤銷請求信號
[0391.89-0394.89] 從設備發送確認信號,並維持一段時間後
[0394.89-0396.89] 就自動將其撤銷
[0396.89-0399.49] 總常所說,對於半戶鎖方式
[0399.49-0402.89] 請求信號的撤銷依賴於確認信號的建立
[0402.89-0406.89] 而確認信號的撤銷是自動的,也就是無依賴的
[0406.89-0410.29] 為了進一步幫助同學們理解半戶鎖方式
[0410.29-0414.49] 我們將之前的動畫演示化成簡單的時序圖
[0414.49-0417.49] 其中,請求信號和確認信號的建立
[0417.49-0419.09] 我們就不再贅述了
[0419.09-0421.49] 主設備對請求信號的撤銷
[0421.49-0424.09] 依賴於從設備對確認信號的建立
[0424.29-0427.49] 而從設備對確認信號的撤銷是自動的
[0427.49-0429.29] 也就是無依賴的
[0429.29-0434.69] 總常所說,半戶鎖方式比非戶鎖方式的可靠性有所提高
[0434.69-0438.09] 也就是,主設備沒有收到確認信號的情況下
[0438.09-0440.22] 會一直保持請求
[0440.22-0443.62] 但半戶鎖方式仍存在可靠性問題
[0443.62-0448.51] 那就是,從設備並不關心主設備是否收到確認信號
[0448.51-0453.13] 我們將該時序圖中的這兩個依賴,看作二次握手
[0453.13-0455.42] 再來看全戶鎖方式
[0455.42-0458.42] 主設備給從設備發送請求信號
[0458.42-0461.42] 從設備收到請求信號後進行響應
[0461.42-0465.42] 並在完成請求後,給主設備發送確認信號
[0465.42-0469.62] 主設備收到確認信號後,才能撤銷請求信號
[0469.62-0473.22] 從設備只有檢測到主設備的請求信號撤銷後
[0473.22-0475.46] 才能撤銷確認信號
[0475.46-0478.26] 總常所說,對於全戶鎖方式
[0478.26-0481.46] 請求信號的撤銷依賴於確認信號的建立
[0481.46-0485.12] 而確認信號的撤銷依賴於請求信號的撤銷
[0485.12-0488.52] 為了進一步幫助同學們理解全戶鎖方式
[0488.52-0492.52] 我們將之前的動畫演示化成簡單的時序圖
[0492.52-0496.32] 在辦戶鎖的基礎上,從設備對確認號的撤銷
[0496.32-0499.12] 依賴於主設備對請求信號的撤銷
[0499.12-0501.82] 這就形成了全戶鎖方式
[0501.82-0506.02] 在上述三種方式中,全戶鎖方式的可靠性最高
[0506.02-0510.62] 只有在主程設備都明確請求響應完成後,才能解鎖
[0510.62-0515.02] 確認信號撤銷後,主設備才能繼續發送新的請求
[0515.02-0519.61] 我們將該時序圖中的這三個依賴,看作三次握手
[0519.61-0522.24] 學習過計算機網絡這門課程的同學
[0522.24-0525.44] 應該可以聯想到,TCPIP體系結構中
[0525.44-0527.84] 傳輸成的傳輸控制協議TCP
[0527.84-0531.24] 其通過三報文握手,建立TCP連接
[0531.24-0535.24] 以便後續基於TCP連接,實現可靠傳輸
[0535.24-0539.84] 我們將一步通信的三種方式,總結到下表中
[0539.84-0543.84] 請同學們暫停播放視頻,快速瀏覽一遍
[0543.84-0551.88] 好的,接下來我們介紹半同步通信
[0551.88-0556.28] 經過之前的學習,我們知道,同步通信的控制方式簡單
[0556.28-0561.28] 主設備與從設備之間,在統一的同步時鐘控制下嚴格同步
[0561.28-0564.88] 同步時鐘頻率取決於總線上最慢的設備
[0564.88-0567.08] 對於各種不同速度的從設備
[0567.08-0570.68] 必須按最慢速度的從設備來設計公路時鐘
[0570.68-0573.08] 嚴重影響總線的工作效率
[0573.31-0577.31] 而一步通信,允許不同速度的設備和諧的工作
[0577.31-0579.11] 但控制方式複雜
[0579.11-0584.94] 因此,半同步通信是將同步通信方式與一步通信方式相結合
[0584.94-0588.74] 為此,只需增設一條等待響音信號線
[0588.74-0591.54] 才用插入時鐘週期進行等待的措施
[0591.54-0593.74] 來協調通信雙方的配合
[0593.74-0595.58] 我們來舉例說明
[0595.58-0597.98] 該圖是半同步通信方式下
[0597.98-0601.58] CPU從某設備讀取數據的簡化時去圖
[0601.58-0603.18] 從該圖可以看出
[0603.18-0605.38] 時鐘信號的第一個時鐘週期
[0605.38-0607.38] 用於主設備發送地址
[0607.38-0608.78] 第二個時鐘週期
[0608.78-0610.58] 用於主設備發送命令
[0610.58-0611.98] 第三個時鐘週期
[0611.98-0613.78] 目標從設備未就緒
[0613.78-0616.78] 也就是還未完成主設備所請求的操作
[0616.78-0620.78] 其通過等待響音信號線給出的是有效信號
[0620.78-0622.18] 第四個時鐘週期
[0622.18-0624.78] 仍用於等待目標從設備就緒
[0624.78-0626.78] 到第五個時鐘週期時
[0626.78-0629.98] 目標從設備已把數據送到數據總線
[0630.18-0632.78] 並撤銷了等待響音信號
[0632.78-0634.58] 在第五個時鐘週期內
[0634.58-0637.18] CPU讀取數據總線上的數據
[0637.18-0638.58] 第六個時鐘週期
[0638.58-0640.98] 是總線傳輸週期的結束階段
[0640.98-0643.18] 主設備撤銷讀控著命令
[0643.18-0644.78] 目標從設備撤銷
[0644.78-0647.91] 發送到數據總線上的信號
[0647.91-0650.91] 我們將之前舉過的這兩個例子進行對比
[0650.91-0652.51] 其中通過這個例子
[0652.51-0654.91] 得出的同步通信方式的優缺點
[0654.91-0655.91] 在本節課中
[0655.91-0657.71] 已經反覆介紹了兩次
[0657.71-0659.31] 就不再贅述了
[0659.31-0660.91] 而通過這個例子
[0660.91-0663.51] 可以得出半同步通信方式的優點
[0663.51-0665.71] 那就是半同步通信方式
[0665.71-0667.91] 繼承了同步通信方式的優點
[0667.91-0670.91] 僅需增加一條等待響音信號線
[0670.91-0673.91] 即可允許不同速度的設備和諧工作
[0673.91-0676.91] 這是對同步通信方式缺點的改進
[0676.91-0678.91] 增設等待響音信號線
[0678.91-0682.61] 相當於增加一步通信方式中的握手機制
[0682.61-0686.01] 但是半同步通信方式也有其缺點
[0686.01-0688.21] 那就是受限於握手機制
[0688.21-0691.01] 時鐘頻率通常無法涉及的太高
[0691.01-0694.47] 這會影響系統的整體速度
[0694.47-0695.97] 好的接下來
[0695.97-0698.17] 我們介紹分離事務方式
[0698.17-0700.07] 這是之前我們剛剛舉過的
[0700.07-0702.07] 半同步通信方式的例子
[0702.07-0703.57] 從圖中可以看出
[0703.57-0705.47] 從設備準備數據的過程中
[0705.47-0707.77] 總限並不能進行任何操作
[0707.77-0710.37] 白白浪費了若干時鐘週期
[0710.37-0712.67] 如果此時能夠釋放總限
[0712.67-0715.17] 主設備等待的若干個時鐘週期
[0715.17-0718.17] 就可以用於處理其他總限事務
[0718.17-0721.17] 分離事務通信就採用了這種思想
[0721.17-0723.37] 下面我們給出分離事務通信的
[0723.37-0725.07] 總限交互過程
[0725.07-0728.77] 一 主設備給從設備發出請求信號
[0728.77-0731.36] 給出地址和請求命令
[0731.36-0734.16] 二 主設備收到從設備的應達號
[0734.16-0736.56] 立即釋放總限控制權
[0736.56-0738.96] 三 從設備準備數據
[0738.96-0742.46] 此時總限可用於處理其他總限事務
[0742.46-0745.06] 四 從設備準備好數據號
[0745.06-0748.36] 將作為主設備從新申請總限控制權
[0748.36-0749.96] 獲得總限控制權後
[0749.96-0752.46] 將數據送到數據總限上
[0752.46-0755.26] 五 原主設備作為從設備
[0755.26-0757.85] 通過總限接收數據
[0757.85-0760.25] 從以上交互過程可以看出
[0760.25-0762.45] 分離事務通信很大程度上
[0762.45-0764.15] 提高了總限利用率
[0764.15-0767.07] 但控制方式更加複雜
[0767.07-0769.57] 目前比較流行的PCIE總限
[0769.57-0772.34] 就支持這種通信
[0772.34-0775.54] 好的 本節課的內容就介紹到這裡
[0775.54-0777.74] 接下來 請同學們挑戰這道
[0777.74-0779.44] 與本節課內容相關的
[0779.44-0781.84] 408考研歷年針題
[0781.84-0784.14] 請同學們暫停播放視頻
[0784.14-0791.56] 思考一下 然後給出你的答案
[0791.56-0793.46] 本題的答案是選項C
[0793.46-0794.96] 大家都選對了嗎
[0794.96-0797.16] 我們來一起分析一下
[0797.16-0799.76] 這是我們本節課給同學們介紹過的
[0799.76-0801.46] 一部通信的三種方式
[0801.46-0803.16] 及其對比表格
[0803.16-0804.06] 可以看到
[0804.06-0805.96] 一部通信的全戶所方式
[0805.96-0808.36] 需要三次握手 速度最慢
[0808.36-0811.48] 因此選項A的敘述證券
[0811.48-0813.68] 而一部通信的非戶所方式
[0813.68-0816.28] 僅一次握手 可靠性最低
[0816.28-0819.34] 因此選項B的敘述證券
[0819.34-0820.44] 如同所示
[0820.44-0821.54] 這是本節課
[0821.54-0823.44] 我們介紹同部通信方式時
[0823.44-0825.04] 所舉過的例子
[0825.04-0826.64] 從圖中可以看出
[0826.64-0828.04] 在這兩個例子中
[0828.04-0828.94] 收發雙方
[0828.94-0830.84] 都在公共時鐘信號的控制下
[0830.84-0832.80] 進行總限傳輸
[0832.80-0834.40] 需要同學們注意的是
[0834.40-0837.70] 時鐘頻率取決於總限上最慢的設備
[0837.80-0840.20] 對於各種不同速度的從設備
[0840.20-0842.10] 必須按最慢速度的從設備
[0842.10-0844.00] 來設計公共時鐘
[0844.00-0846.40] 這嚴重影響總限的工作效率
[0846.40-0849.33] 因此選項C的敘述錯誤
[0849.33-0851.03] 因為同部使用信號
[0851.03-0852.93] 不是由各設備提供
[0852.93-0856.64] 各設備應使用統一的公共時鐘
[0856.64-0857.74] 如同所示
[0857.74-0858.84] 這是本節課
[0858.84-0861.04] 我們介紹半同部通信方式時
[0861.04-0862.74] 所舉過的例子
[0862.74-0864.80] 這是握手信號
[0864.80-0866.86] 這是使用信號
[0866.86-0867.76] 可以看到
[0867.76-0870.86] 握手信號的採樣由同部時鐘控制
[0870.86-0873.56] 因此選項D的敘述正確
[0873.56-0874.66] 通上所述
[0874.66-0877.67] 本題的答案是選項C
[0877.67-0878.37] 好的
[0878.37-0880.47] 本節課到這裡就結束了
[0880.47-0882.57] 請同學們快速回憶一下
[0882.57-0903.56] 本節課的主要內容
[0903.56-0904.36] 同學們
[0904.36-0905.46] 我們下節課見
