[0003.44-0007.92] 同学们好,欢迎大家来到我的计算机组成员里为课堂
[0169.84-0175.84] 在一些旧的计算机架构中,内存控制器可能集成在北侨芯片中
[0175.84-0180.40] 而现在一般将内存控制器集成在CPU内部
[0180.40-0186.08] 以减少CPU和内存之间的通信延迟,提高系统性能
[0186.08-0189.60] 再来看刷新与独操作的区别
[0189.60-0193.17] 尽管独操作也具有刷新功能
[0193.17-0197.01] 但独操作与刷新操作又有所不同
[0197.39-0203.18] 刷新操作只需要给出行地址,而不需要给出列地址
[0203.18-0207.26] 在同学们了解了动态刷新的相关基本概念后
[0207.26-0210.88] 就可以给同学们介绍动态刷新方式了
[0210.88-0217.12] 请同学们注意,DRAM在刷新时是不能想应CPU的访问的
[0217.12-0220.32] 因此,CPU对DRAM进行访问
[0220.32-0226.80] 与内存控制器对DRAM进行刷新操作就存在内存征用问题
[0226.96-0233.47] 可采用集中刷新、分散刷新、异不刷新的刷新方式来解决
[0233.47-0237.71] 我们来举例说明这三种动态刷新方式
[0237.71-0243.38] 假设DRAM存储体的结构为128行乘128列
[0243.38-0249.23] 存取周期为0.5微秒、刷新周期为2毫秒
[0249.23-0255.90] 下面给出集中刷新、分散刷新以及异不刷新三种刷新方式
[0256.06-0258.46] 通过上级课的介绍,我们知道
[0258.46-0261.82] 刷新操作与独操作是类似的
[0261.82-0265.49] 本地给定存取周期为0.5微秒
[0265.49-0272.21] 可认为是进行连续独操作时,两次独操作之间的时间间隔
[0272.21-0277.41] 因此,刷新一行所需的时间也为0.5微秒
[0277.41-0280.90] 本地给定刷新周期为2毫秒
[0281.22-0287.14] 换句话说,在2毫秒内要完成所有128行的刷新
[0287.14-0291.71] 综上所说,将2毫秒,也就是2000微秒
[0291.71-0295.47] 刷分成4000个0.5微秒长的时期
[0295.47-0299.39] 在这些时期中,选出128个时期
[0299.39-0302.03] 每个时期刷新一行即可
[0302.03-0308.74] 如同所示,这是将2毫秒刷分成4000个0.5微秒长的时期
[0308.99-0314.59] 我们选择最后这128个连续的时期进行集中刷新
[0314.59-0319.17] 每个时期刷新一行,共刷新128行
[0319.17-0322.93] 这样我们就在刷新周期2毫秒内
[0322.93-0326.93] 对DRAM存储体进行了一次完整的刷新
[0326.93-0331.71] 而之前的这些时期可全部用于独写操作
[0331.71-0336.99] 当然了,即使这些时期没有进行独写操作的需求
[0337.15-0340.00] 存储内容也是会保持的
[0340.00-0344.03] 上述这种刷新方式,称为集中刷新
[0344.03-0347.39] 不难发现,才用集中刷新方式
[0347.39-0350.91] 独写操作期间,不受刷新操作的影响
[0350.91-0354.54] 因此,这段时间的访问速度比较快
[0354.54-0358.62] 但是,在集中刷新的多个连续时期中
[0358.62-0361.66] 本力为128个连续时续
[0361.66-0364.54] CPU长时间不能访问DRAM
[0364.70-0367.76] 这段时间称为死去时间
[0367.76-0369.92] 由于DRAM按行刷新
[0369.92-0372.08] 每个时系刷新一行
[0372.08-0375.28] 因此,存储体包含的行数越多
[0375.28-0378.10] 死去时间就越多
[0378.10-0382.90] 另一种刷新方式如都所示
[0382.90-0386.75] 这种方式称为分散刷新方式
[0386.75-0388.91] 相当于将存取周期
[0388.91-0393.15] 加上刷新一行的时长作为新的存取周期
[0393.15-0396.22] 因此,不存在死去时间
[0396.38-0400.22] 但是,这种方式刷新过于频繁
[0400.22-0401.74] 例如,本力中
[0401.74-0404.86] 在2毫秒所包含的4000个时期中
[0404.86-0407.74] 有2000个时系用于刷新
[0407.74-0409.74] 每个时系刷新一行
[0409.74-0412.06] 共刷新2000行
[0412.06-0413.98] 每刷新128行
[0413.98-0418.42] 就相当于把存储体完整的刷新了一遍
[0418.42-0420.82] 因此,在2毫秒内
[0420.82-0424.66] 进行了约15次完整的存储体刷新
[0424.82-0427.46] 严重影响了系统的速度
[0427.46-0429.86] 因此,分散刷新方式
[0429.86-0433.55] 不适合应用于高速存储器
[0433.55-0438.11] 将集中刷新方式和分散刷新方式结合起来
[0438.11-0440.59] 可以得到另一种刷新方式
[0440.59-0442.98] 称为一部刷新方式
[0442.98-0444.18] 对于本力
[0444.18-0445.62] 可将2毫秒
[0445.62-0447.62] 也就是2000微秒
[0447.62-0451.04] 刷分成128个时间段
[0451.04-0455.12] 因此,每个时间段为15.625微秒
[0455.97-0458.53] 每个时间段的最后0.5微秒
[0458.53-0460.53] 用于刷新一行
[0460.53-0464.85] 而其余时间用于读写操作或保持
[0464.85-0467.97] 因此,在2毫秒的刷新周期内
[0467.97-0470.77] 正好可以刷新128行
[0470.77-0475.31] 也就是把存储体完整的刷新了一遍
[0475.31-0476.75] 一部刷新方式
[0476.75-0479.39] 既充分利用了2毫秒时间
[0479.39-0482.34] 又保持系统高速特性
[0482.34-0485.49] 该方式缩断了死去时间
[0485.57-0486.69] 对于本力
[0486.69-0489.41] 如果采用集中刷新的方式
[0489.41-0494.02] 死去时间为128个0.5微秒长的时期
[0494.02-0496.34] 而采用一部刷新方式
[0496.34-0501.68] 则死去时间缩断为一个0.5微秒长的时期
[0501.68-0502.64] 因此
[0502.64-0505.44] 一部刷新方式比集中刷新方式
[0505.44-0508.00] 和分散刷新方式效率更高
[0508.00-0509.78] 更为常用
[0509.78-0510.74] 接下来
[0510.74-0512.90] 请同学们趁热打铁
[0512.90-0515.94] 完成几个相关的练习题
[0515.94-0518.58] 请同学们暂停播放视频
[0518.58-0520.50] 务必动手练习一下
[0520.50-0529.26] 然后给出你的答案
[0529.26-0531.98] 相信同学们都能正确完成
[0531.98-0534.40] 我们就不再追数了
[0534.40-0535.20] 好的
[0535.20-0537.76] 本节课到这里就结束了
[0537.76-0540.24] 请同学们快速回忆一下
[0540.24-0554.69] 本节课的主要内容
[0554.69-0555.57] 同学们
[0555.57-0557.17] 我们下节课见
